Position	A1	A2	B1	B2
1:50334245	0	0	22.7	0
1:37867026	0	0	0	0
1:118475911	0	0	0	0
1:150923251	0	0	0	0
1:128901351	100	100	0	0
1:134189042	0	0	0	0
1:128575037	0	0	0	0
1:61411246	90.9	87.8	100	87.8
1:151539906	94.4	100	100	100
1:146859059	0	0	0	0
1:154221125	94.7	90.9	93.3	100
1:109586759	0	0	0	0
1:5289691	79.3	90.4	19.4	12
1:147021211	100	100	100	95.2
1:80185734	0	0	0	0
1:112730408	0	0	0	0
1:150360152	0	0	0	0
1:97570644	100	100	100	100
1:141776329	100	87.5	54.5	25
1:151542862	100	94.7	100	100
1:147100166	60	75	100	100
1:136115351	0	0	3.4	4.1
1:131834050	0	0	0	0
1:155989702	100	100	100	100
1:77596411	0	0	0	0
1:115836487	0	0	0	0
1:59367545	100	100	100	86.6
1:76569508	91.6	100	100	100
1:127827943	0	0	0	0
1:136055105	8.6	3	6.4	0
1:136498532	4.3	13	100	100
1:146051267	90.4	95.8	100	93.7
1:144052644	95.2	95.2	100	100
1:70419091	0	0	0	0
1:130864997	95	100	100	100
1:146208717	96.5	90	100	84.2
1:144076202	91.9	93.9	32.8	27.4
1:147133142	5.2	0	0	0
1:155636518	100	100	93.3	95
1:83244246	0	0	0	0
1:41859532	0	0	0	0
1:64645235	0	0	0	0
1:156849481	100	100	0	0
1:2458705	100	100	100	100
1:145804642	93.3	100	100	100
1:152514645	0	0	96.4	100
1:146217937	48	52.9	0	8
1:132451384	7.6	4.7	0	0
1:143895851	73.6	80	100	100
1:125885626	0	0	0	0
1:143120391	0	0	0	0
1:152695421	0	3.4	0	0
1:119544494	95.4	100	100	89.6
1:106920489	94.4	90	100	100
1:58441830	100	94.4	94.4	96.1
1:152940210	91.6	96	100	100
1:150454421	87.5	93.7	100	100
1:1798459	100	88.8	95	92.8
1:145186555	100	78.2	92	97
1:154267170	53.8	58.3	100	100
1:153057265	100	100	100	100
1:136415875	97.3	92.1	100	96.9
1:111032925	0	0	0	0
1:144944621	88.2	80.6	100	90.6
1:147708291	0	0	0	0
1:72020334	0	0	0	0
1:52432213	0	0	0	0
1:72709192	0	0	0	0
1:112777368	0	0	0	0
1:150961748	0	17.6	0	0
1:136676852	0	0	0	0
1:88632487	0	0	3.1	0
1:154038125	87.5	93.3	3.4	6.1
1:81617349	95.6	96.9	100	100
1:146232075	86.6	89.4	94.1	100
1:154923637	0	0	0	0
1:150690858	0	0	0	0
1:123231051	0	0	0	0
1:1822561	9.5	0	0	0
1:136536406	89.2	72.7	0	4
1:1828827	0	0	0	0
1:144617962	90.9	92.8	90	100
1:154187743	0	0	0	0
1:98211071	0	0	0	0
1:710581	100	93.1	100	100
1:2360512	0	0	0	0
1:135945475	0	0	0	0
1:59889640	96.2	96.5	100	100
1:5282488	80.9	78.9	14.4	10.2
1:42531056	0	0	0	2.5
1:146047449	100	100	100	100
1:150054513	0	0	0	0
1:144112258	70.7	82.6	12.5	12.9
1:146232902	100	100	100	85.7
1:120130150	0	0	3	0
1:44700163	100	100	96	94.1
1:1188364	0	0	0	0
1:72390348	0	0	0	2.6
1:131243015	0	0	0	0
1:9627692	100	100	96.1	96.2
1:75488116	0	0	0	0
1:138814717	89.4	36	0	0
1:152934227	100	90	100	100
1:145075039	0	0	0	2.3
1:147654043	0	0	0	0
1:151485806	0	5.2	50	76.4
1:72607662	0	0	0	0
1:15624844	78.5	92.3	94.4	100
1:144118405	90.1	96.8	44.1	39
1:1407737	0	0	0	0
1:80205121	100	100	100	100
1:88289069	0	0	0	0
1:128679767	0	0	0	0
1:140863071	0	0	0	0
1:131169657	14.2	33.3	4.1	0
1:75017983	100	95.8	100	97
1:147821862	100	100	100	100
1:5448605	16.6	0	3.8	2.9
1:72390561	0	0	0	0
1:153205607	85.7	78	8.4	5.6
1:44842166	100	95.4	100	100
1:155789580	100	94.4	95.8	100
1:5286072	66.6	76.3	14	19.3
1:143755712	0	0	0	0
1:96454808	0	0	2.7	0
1:154219742	75	70	4.5	0
1:143597900	100	92.8	100	92.8
1:143580830	100	100	100	100
1:69380356	94.7	97.1	100	100
1:148775760	0	0	0	0
1:52432505	0	0	0	0
1:2305725	92.3	93.3	100	100
1:135290818	91.6	92.8	0	3.2
1:143273213	86.6	90.9	53.8	77.7
1:155775919	100	100	0	0
1:100158066	0	0	0	0
1:45735822	100	91.6	35.2	33.3
1:144006022	0	0	4.5	0
1:153319615	100	96.4	40.9	0
1:97651208	5.5	0	0	0
1:144942185	80	94.1	100	100
1:46543534	0	0	0	0
1:146437083	0	0	0	0
1:132451112	0	8.3	0	0
1:57786631	0	0	0	0
1:44924530	96.1	100	100	100
1:44199356	0	0	0	0
1:119150477	0	3.7	0	0
1:98517546	0	0	0	0
1:67722265	0	0	0	0
1:87646291	10.5	8.3	0	0
1:144846033	0	0	0	0
1:127317924	0	0	0	0
1:151848015	10.5	2.7	0	0
1:72020256	0	0	0	0
1:150401205	100	100	90	93.3
1:136435243	0	0	0	0
1:126873923	0	0	0	0
1:6319832	95	90	100	100
1:146915525	92.8	93.7	93.3	95
1:117790571	100	89.4	100	100
1:145855376	92.3	83.3	91.6	95
1:1264716	0	0	0	0
1:1307111	0	0	0	0
1:146735562	90.9	85.7	16	9
1:109586777	0	0	0	6.4
1:139156067	0	0	0	6.2
1:81593071	0	0	8.1	3.7
1:128900982	100	100	0	0
1:146141975	100	100	92.8	96.2
1:146844009	0	0	0	0
1:83425000	0	0	0	0
1:147587049	94.1	100	10.5	10
1:150961804	21.4	23.5	0	0
1:180167	0	0	0	0
1:115904511	95.4	97	100	100
1:145756670	8.3	0	0	0
1:45281101	0	0	0	0
1:147343307	66.6	51.8	95.4	97
1:137902597	0	0	0	0
1:83539736	0	0	0	0
1:134189132	0	0	0	0
1:150454467	90	100	100	96.9
1:143327977	92.8	100	100	90.9
1:93470371	0	0	0	0
1:151542837	100	100	100	100
1:74131018	92	100	100	96.4
1:82574124	0	0	0	0
1:156417149	100	100	100	97
1:99076208	0	6.2	0	0
1:80647360	100	81.8	56.5	62.9
1:89840333	83.3	100	100	94.4
1:135945398	0	0	0	0
1:114145044	0	0	0	0
1:143612850	93.3	100	100	100
1:135656621	4.7	12.5	0	4.7
1:43714023	92.3	93.7	83.3	100
1:136579879	81.8	88.8	90.9	100
1:2919747	0	0	0	0
1:94742229	4.5	5.5	0	0
1:147724594	100	91.6	95.8	100
1:67290799	0	0	0	0
1:146961675	95	95.4	100	100
1:2180045	90.9	100	97.2	97.1
1:118300546	0	0	0	0
1:147470815	50	50	100	100
1:7579914	82.6	77.7	54.5	56.5
1:131352593	0	0	0	0
1:69917027	0	0	0	0
1:147766764	100	100	100	100
1:75102015	0	0	0	0
1:118537678	0	0	0	0
1:98346544	100	89.4	0	13.3
1:150690984	0	0	0	0
1:144081863	87.8	90.4	15.6	10.8
1:83244116	0	0	0	4.3
1:111643809	100	100	100	100
1:83521397	3.5	5.2	0	6.2
1:144130819	90.4	75	15.7	16.2
1:134756230	100	90.4	100	100
1:144085997	92.5	95.3	28.6	14.2
1:145075285	0	0	0	0
1:147307956	83.3	100	100	90.9
1:72049942	0	3.8	0	0
1:111630197	100	94.7	0	6.2
1:147061283	68.4	67.8	100	96.6
1:153971487	0	0	0	0
1:144494576	0	0	0	0
1:157171850	100	96.2	0	4
1:71286937	0	0	0	0
1:150961785	23	11.7	0	0
1:146310567	4.5	0	100	100
1:107926836	0	0	0	8.1
1:154960708	90.4	95	5.8	4.3
1:146544724	100	100	100	100
1:80647314	100	100	52.1	44.4
1:3258455	8.3	12.5	0	0
1:65922783	0	0	0	0
1:148347479	91.6	88.2	0	0
1:155010032	0	0	0	0
1:83179043	0	2.5	3	0
1:64357583	92.3	100	100	97.2
1:103877732	86.3	88.4	60	58.3
1:143166451	0	0	0	4.3
1:71388463	100	93.7	100	100
1:146123412	100	100	100	92.8
1:142875604	0	0	0	0
1:157171369	94.7	100	0	4
1:148178263	5.5	3	0	0
1:147822022	100	100	100	100
1:146599462	0	95	100	91.6
1:150883235	94.1	100	0	0
1:112730464	0	0	0	0
1:144671688	78.9	83.3	100	100
1:154220150	60	92.3	0	0
1:147343042	100	96.2	100	100
1:123231219	0	0	0	25
1:144436590	100	100	100	93.7
1:145151683	6.6	0	7.6	0
1:137993996	0	0	0	0
1:147030201	100	88	100	100
1:148694346	93.7	90.9	100	100
1:1822182	3.8	2.5	0	0
1:2862664	100	100	83.3	95.4
1:126874377	0	0	0	0
1:5289927	89.4	100	70.5	57.1
1:2917729	0	0	0	0
1:144118492	100	88.8	63.6	61.1
1:147673428	92.8	100	100	100
1:67116701	33.3	68.7	3.3	4.1
1:152652277	11.5	25	94.4	91.6
1:13548277	84	86.3	12.1	12.1
1:141029586	0	0	0	0
1:155112643	86.6	60.8	100	91.6
1:45091067	61.9	82.3	0	0
1:151270078	0	0	0	0
1:84029815	0	0	0	0
1:130852443	100	95.2	100	100
1:20871299	0	0	0	0
1:242145	0	0	0	0
1:145636653	100	100	100	100
1:103877689	87.5	100	70.5	82.3
1:83458823	100	91.6	100	100
1:130108073	0	0	0	0
1:146940982	47	36.3	100	100
1:120013191	100	95.8	0	0
1:117952491	10	0	0	10.5
1:116105894	76.5	85.7	9.2	7.8
1:146517346	100	85	100	91.3
1:73865238	84.6	92.8	90	100
1:61411316	100	100	94.7	96.9
1:75102002	0	0	0	0
1:5268537	93.1	92.9	23.5	16.1
1:147289021	88.8	95	100	94.7
1:6157648	100	100	100	100
1:146323859	100	100	100	94.7
1:111686558	0	0	0	0
1:145696213	0	0	0	0
1:145770027	0	0	0	0
1:146490953	0	0	0	0
1:1223279	0	0	0	0
1:44712322	100	100	96.2	87.5
1:56306909	0	0	0	0
1:44904046	100	100	94.2	90.4
1:146599527	100	100	100	94.2
1:77752971	0	0	0	0
1:144129478	94.4	100	22.6	27.2
1:1973198	93.7	100	96.7	100
1:9336977	100	100	100	50
1:158290044	90.4	77.2	0	0
1:145152175	0	0	0	0
1:128828351	100	100	100	100
1:2476907	100	100	100	96.6
1:108087010	0	0	0	4
1:156900138	40	0	0	0
1:84030160	0	0	0	0
1:132578343	83.3	78.2	13.3	4.3
1:69917112	0	0	0	0
1:71286709	0	0	0	0
1:57035715	0	0	0	0
1:71286942	0	0	0	0
1:70276654	0	0	0	0
1:143204463	37.5	68.7	0	12.5
1:153314382	96.4	93.9	100	92.8
1:152804707	100	100	100	94.4
1:9607343	0	0	0	0
1:143616773	100	100	84.6	85
1:70106122	0	0	0	3
1:146318395	95.8	100	100	93.7
1:60252804	91.6	91.6	100	90
1:118655693	0	0	6	3.2
1:126875231	5.2	0	0	0
1:45734237	95.1	93.6	38.6	34.7
1:119438081	16.6	12.5	0	0
1:136492275	85.7	95	100	100
1:143916821	94.4	90.4	100	100
1:153794637	100	89.4	96.1	100
1:44655770	0	2.5	0	0
1:132450561	0	5	0	2.8
1:67962489	0	0	0	0
1:145856883	85.7	96.6	100	94.1
1:147790333	93.3	95.8	100	100
1:83500794	0	0	0	0
1:68012422	0	0	0	0
1:57447991	80	84.5	13.2	14.3
1:118536924	0	0	0	0
1:145102334	93.5	97	0	0
1:71406463	0	0	0	0
1:146121299	94.7	100	100	94.4
1:125884832	0	0	0	0
1:44661698	63.6	87	3.1	27.7
1:154399625	83.3	77.2	96.1	100
1:154175712	94.7	96.5	88.2	96.6
1:73820092	0	0	0	0
1:147025170	100	96.4	100	100
1:68666583	94.1	96.4	100	100
1:104576687	70	77.7	100	92.8
1:131862837	37.5	30	3	9.5
1:52854576	100	100	100	100
1:143581329	93.7	91.6	100	100
1:73656323	0	0	0	0
1:71286913	0	0	0	0
1:108085846	20.8	8.3	0	0
1:137993972	0	5.2	0	0
1:128917353	0	6.2	0	0
1:73011518	85.7	100	93.1	100
1:80186109	0	0	0	0
1:148476682	93.3	87.5	30	26.4
1:146035466	100	96.9	100	90.4
1:98352474	0	3.2	0	0
1:57035920	0	0	0	0
1:71840203	0	0	0	0
1:146212461	94.1	100	100	96.5
1:83532406	0	0	3.2	0
1:148775649	0	0	0	0
1:81063477	0	0	0	0
1:147132982	0	0	0	0
1:139156034	0	7.1	0	0
1:154922674	0	0	0	0
1:131243890	0	0	0	0
1:155177865	100	94.1	52.6	5
1:144102978	78.4	76.5	2	2.6
1:71210810	100	100	100	100
1:152358883	92.8	93.3	16.6	33.3
1:153971470	0	0	0	7.1
1:155178422	100	100	65.3	18.7
1:111902648	70	83.3	100	100
1:79782789	0	0	0	0
1:42531451	0	0	0	0
1:71653564	0	0	0	0
1:133526536	0	0	0	0
1:18232639	5.8	4.3	0	0
1:56308799	0	0	0	0
1:121872312	31.2	21.4	0	0
1:145194485	100	96.7	100	100
1:108086332	0	0	0	0
1:145283190	0	0	0	0
1:135945395	0	0	0	0
1:112777361	0	0	0	0
1:146767604	0	0	0	0
1:98140427	0	11.5	0	0
1:72608155	0	0	0	2.3
1:5286195	90.9	92.3	25.8	22
1:117952649	0	0	3.4	0
1:18233007	0	5.2	0	0
1:96454928	0	0	0	0
1:79591609	100	100	100	100
1:5036256	95.4	100	0	0
1:44199311	0	0	0	0
1:479094	0	0	0	0
1:131565124	0	0	0	0
1:144690512	0	0	0	0
1:145695859	0	0	0	0
1:154926427	0	9.5	0	6.2
1:71210667	93.7	94.1	100	100
1:2230775	0	13.3	90	100
1:8785735	90	86.2	92	90
1:154219295	57.1	72.4	0	0
1:57443995	66.6	76.3	5.3	5.9
1:67963295	0	0	0	0
1:69854598	100	100	100	100
1:122910680	0	0	0	2.3
1:88632434	0	0	0	0
1:52432247	0	0	0	0
1:121884228	10.5	14.8	2.9	0
1:144958498	100	87.5	100	93.7
1:151451649	100	100	0	0
1:146945971	0	0	0	0
1:151134713	100	72.2	100	100
1:6174122	100	100	4.3	3
1:98515769	0	0	0	2.5
1:107009425	0	0	0	0
1:44712507	94.1	95	52.9	4
1:44261591	0	0	0	0
1:156925779	96.1	96.9	100	100
1:1496155	0	0	0	0
1:144100387	90	96.6	6.8	23.2
1:146847613	96.4	97	100	100
1:67962755	5.2	4.7	0	0
1:145230199	10.5	20	95.2	95
1:154219696	75	50	0	0
1:143232049	100	90	100	92.8
1:95535755	0	0	3.4	0
1:144005923	0	0	0	0
1:43729866	0	0	0	0
1:157176790	0	0	26	22.7
1:150048022	0	0	0	0
1:121908345	4	13.3	0	0
1:70276343	0	14.2	0	0
1:154247561	100	80	93.7	96.1
1:56499655	100	92	100	100
1:71221270	100	100	94.4	100
1:144092266	80	82.9	9.3	10.5
1:106225184	4.3	15.7	9	5.8
1:154224518	100	100	96.1	100
1:115836240	0	0	4.5	0
1:6546063	0	0	0	0
1:74237984	30	60.7	3.5	0
1:134615137	83.3	95.2	93.7	100
1:110108479	100	100	96.1	93.3
1:11272526	95.4	90.9	23.9	14.2
1:61266984	84.2	89.4	82.6	73.3
1:44661761	59	72	15.1	20.8
1:144751287	100	94.1	100	100
1:1833063	0	0	3.1	0
1:154082224	5.8	24	93.5	100
1:144080680	64.9	65.2	4.1	7.6
1:81208989	84.6	95	100	97.2
1:68550653	0	0	0	0
1:58448729	62.5	60.8	0	0
1:146517664	100	100	95.8	100
1:71336358	100	93.3	90	68.1
1:1775650	0	0	0	0
1:72020158	0	0	0	0
1:144493709	0	0	0	0
1:146633179	100	100	100	96.8
1:155162127	100	100	0	0
1:155141800	92.8	90	81.2	63.1
1:144086440	87.5	83.7	11.5	7.6
1:127469517	0	0	0	0
1:154922900	4	0	0	3.2
1:111318762	0	3	0	0
1:152889925	100	100	84.2	82.3
1:1626493	6.6	0	0	0
1:143275075	92.3	81.8	100	100
1:69546119	95.6	95	100	96
1:147470873	78.5	87.5	100	100
1:111686758	0	0	0	0
1:133525624	0	0	0	0
1:146643283	100	94.1	91.6	90
1:150690975	0	0	0	0
1:142491869	0	0	0	0
1:68391588	66.6	45.8	96.2	100
1:79591650	100	94.4	100	100
1:107928000	0	0	0	0
1:2204947	0	0	0	5.2
1:147132008	0	0	0	0
1:144611325	100	100	50	60
1:146464319	100	100	100	90.9
1:147653991	5.2	0	0	0
1:133439146	0	5.2	3	0
1:155162095	100	95	0	0
1:52549060	0	0	0	0
1:123231084	0	0	0	0
1:45733159	46.8	55.1	3.8	4.9
1:1776332	0	0	0	0
1:1407747	0	0	0	0
1:144120338	100	100	37.5	18.7
1:74359273	90.9	83.3	100	94.4
1:73741828	37.5	36.8	0	0
1:147418264	82.3	100	100	100
1:45735544	67	77.3	15.6	20.4
1:73516200	5.5	0	0	0
1:50881490	0	0	0	0
1:146051163	100	94.4	100	95
1:131138523	91.6	78.5	0	0
1:44924556	100	94.1	92.3	92.8
1:109793644	0	0	0	0
1:144494188	0	0	3.3	0
1:144115821	89.8	94.2	48.6	46.5
1:150360352	0	5.8	0	0
1:146572518	100	100	96.1	93.1
1:59552559	100	88.8	100	93.7
1:143601537	100	95	78.5	78.9
1:1407247	0	0	0	0
1:73741794	62.5	42.1	0	0
1:41860005	0	10	0	0
1:145822730	0	0	0	0
1:128085579	0	9.5	0	0
1:155426271	96.5	94.8	93.3	100
1:135773090	70.5	93.7	100	100
1:57484495	70	71.5	6.6	7.6
1:78067160	50	50	100	100
1:100158052	0	0	0	0
1:65802145	0	0	0	0
1:154761191	17.6	10	4.5	6
1:155564511	76.4	95	100	96.6
1:83244630	0	0	0	0
1:146859176	0	0	0	0
1:35660246	0	0	0	0
1:145197774	100	100	100	100
1:155300524	0	0	0	0
1:140493606	0	0	0	0
1:68735842	93.3	95.2	92.8	96.2
1:136960686	0	0	0	0
1:128872128	91.6	68.7	100	100
1:152891588	86.6	91.6	100	95.8
1:1495710	0	0	0	8.3
1:147221113	90.9	83.3	100	88.8
1:52432875	0	0	0	0
1:57484512	90.3	87.3	9.7	15.9
1:146217155	0	0	0	0
1:141667746	80.9	86.3	100	93.5
1:145597279	100	92.3	100	100
1:73740775	8.3	0	0	0
1:144554686	8	33.3	100	100
1:99076132	0	0	2.7	0
1:140045740	0	0	0	0
1:153971540	0	0	0	0
1:131226851	0	0	0	0
1:68306459	5.2	15.3	6.6	4.1
1:119150809	0	0	0	0
1:150943790	0	0	4.1	0
1:144128114	64	75	11.7	10.7
1:151485497	0	5	64.7	68.7
1:145659969	100	85.7	100	90.9
1:111642686	100	95.6	100	94.1
1:102121774	62.9	75	75	53.3
1:131351479	0	0	0	0
1:133395422	0	0	0	0
1:11274328	75.1	74.7	7.5	9.1
1:154484894	100	91.6	100	100
1:155939480	100	100	100	100
1:128288269	9	0	5	0
1:116586215	88.8	94.4	13.2	25.8
1:145186580	91.3	86.9	100	97
1:45143957	82.1	90	0	7.1
1:146961683	100	86.3	100	90
1:2457803	100	100	56.5	50
1:5291204	96.6	100	12.5	15
1:155990852	86.6	100	70.5	76.4
1:138646757	100	100	100	0
1:64945021	96.1	96.5	92.3	100
1:127736341	0	0	0	0
1:5304885	85	100	22.2	15.3
1:147654055	0	0	0	0
1:3581802	91.6	100	96.9	100
1:144111924	68.2	66.6	6.8	7.4
1:150711665	100	100	100	100
1:74010541	94.1	91.6	100	100
1:69038831	0	0	4.7	3.4
1:1418230	94.7	100	100	85.7
1:132444438	8.3	0	0	0
1:60001856	100	100	100	96.1
1:152940147	100	100	100	100
1:144455473	89.4	90.6	100	97.9
1:155406064	100	100	0	0
1:157268184	0	0	0	0
1:125886403	0	0	0	0
1:132443937	0	0	0	0
1:10069068	0	0	0	6.2
1:155108769	95.2	100	100	94.7
1:118656957	0	0	12.5	0
1:179782	9	0	0	0
1:59064359	0	0	0	0
1:118536608	0	0	0	0
1:150250047	90	100	37.5	33.3
1:147022789	95	95	94.1	86.3
1:144128333	80	93.3	5.8	3.5
1:45145544	70.1	71.3	13.4	8.5
1:157266591	0	0	0	2.8
1:50334401	0	0	0	0
1:143569326	85.7	83.3	100	100
1:136067214	83.3	93.3	76.9	100
1:157219190	100	100	92.3	100
1:151452289	0	0	0	0
1:143569301	85.7	58.3	100	100
1:157847244	84.2	96.5	60	77.1
1:85934355	4	8.3	0	0
1:142175534	100	92	26.3	20.6
1:123322539	0	0	0	0
1:155252133	100	100	95.8	92.8
1:145107711	95	100	0	0
1:137498615	0	0	0	0
1:73655988	0	0	0	0
1:124949945	84.7	86.5	21.7	15.2
1:156848784	100	100	83.7	93
1:88389854	0	0	0	0
1:153209905	100	51.8	5.5	0
1:37867149	0	0	0	0
1:5254178	22.7	30.5	0	3.4
1:146572564	95.2	92.3	100	100
1:71312747	100	100	54.5	40
1:113891942	83.3	85.7	100	92.8
1:144121704	94.3	97.5	46.2	28.2
1:149153675	16.6	0	94.1	95.6
1:36722034	0	0	4.5	0
1:95359606	50	100	100	88.8
1:153209045	85	86.7	56.6	51.4
1:147945689	90	90.9	100	94.7
1:118656980	0	2.5	4	8.3
1:108553391	5.2	0	0	4
1:3567434	100	95.8	92	100
1:97651549	7.6	3.7	0	0
1:130964294	41.6	45	100	93.7
1:155284519	5.5	12.5	100	100
1:75017954	100	100	100	97
1:153324641	62	44	100	97.6
1:65700199	0	0	0	0
1:158078749	14.2	8.3	0	0
1:114430859	0	3.5	0	0
1:2305764	100	100	100	91.6
1:64841882	0	0	0	0
1:127042773	91.6	87.5	0	0
1:83446941	94.1	100	96.6	100
1:151826947	100	94.4	100	95.6
1:136435516	0	0	0	0
1:102996048	0	0	0	0
1:125884012	0	3.4	0	0
1:47068962	93.7	100	0	0
1:50881272	0	0	0	0
1:155741878	100	100	0	0
