Chromosome	DMR start	DMR end	DMR length	Methylation state for Condition_A	List of DMCs	Number of DMCs
1	44931466	44931539	73	hypermeth	44931466,44931487,44931492,44931498,44931517,44931539	6
1	45091009	45091067	58	hypermeth	45091009,45091022,45091067	3
1	45091204	45091298	94	hypermeth	45091204,45091207,45091218,45091221,45091230,45091251,45091256,45091262,45091277,45091282,45091292,45091298	12
1	45091427	45091457	30	hypermeth	45091427,45091433,45091436,45091457	4
1	45103837	45103895	58	hypermeth	45103837,45103841,45103847,45103860,45103867,45103874,45103887,45103895	8
1	45142510	45142766	256	hypermeth	45142510,45142521,45142532,45142557,45142597,45142627,45142633,45142687,45142766	9
1	45143189	45143224	35	hypermeth	45143189,45143195,45143212,45143224	4
1	45143910	45144166	256	hypermeth	45143910,45143921,45143932,45143957,45144033,45144087,45144166	7
1	45145411	45145544	133	hypermeth	45145411,45145465,45145544	3
1	45726716	45726823	107	hypermeth	45726716,45726729,45726736,45726766,45726770,45726777,45726794,45726823	8
1	45728056	45728239	183	hypermeth	45728056,45728072,45728097,45728108,45728119,45728132,45728139,45728169,45728173,45728180,45728197,45728226,45728239	13
1	45731283	45731330	47	hypermeth	45731283,45731308,45731319,45731330	4
1	45731449	45731538	89	hypermeth	45731449,45731456,45731478,45731486,45731496,45731515,45731523,45731538	8
1	45732683	45732719	36	hypermeth	45732683,45732708,45732719	3
1	45733091	45733159	68	hypermeth	45733091,45733099,45733116,45733142,45733159	5
1	45733264	45733335	71	hypermeth	45733264,45733317,45733324,45733335	4
1	45734130	45734256	126	hypermeth	45734130,45734143,45734150,45734180,45734184,45734191,45734208,45734237,45734249,45734256	10
1	45735311	45735844	533	hypermeth	45735311,45735324,45735331,45735361,45735389,45735418,45735430,45735526,45735544,45735587,45735671,45735679,45735696,45735722,45735739,45735758,45735768,45735798,45735815,45735822,45735825,45735834,45735841,45735844	24
1	45735996	45736025	29	hypermeth	45735996,45736008,45736025	3
1	47065461	47065529	68	hypermeth	47065461,47065473,47065488,47065493,47065498,47065516,47065523,47065529	8
1	47066198	47066257	59	hypermeth	47066198,47066202,47066213,47066220,47066257	5
1	47068788	47069001	213	hypermeth	47068788,47068793,47068880,47068884,47068927,47068939,47068952,47068956,47068962,47068980,47068983,47069001	12
1	47069322	47069378	56	hypermeth	47069322,47069372,47069378	3
1	49100326	49100411	85	hypermeth	49100326,49100333,49100344,49100402,49100407,49100411	6
1	49364743	49364861	118	hypermeth	49364743,49364771,49364822,49364845,49364849,49364861	6
1	50270455	50270473	18	hypometh	50270455,50270469,50270473	3
1	54305164	54305291	127	hypermeth	54305164,54305171,54305182,54305227,54305233,54305245,54305251,54305271,54305291	9
1	54518596	54518707	111	hypermeth	54518596,54518675,54518692,54518707	4
1	56720274	56720362	88	hypometh	56720274,56720284,56720289,56720321,56720351,56720362	6
1	57219259	57219386	127	hypermeth	57219259,57219269,57219281,57219291,57219305,57219343,57219374,57219382,57219386	9
1	57219632	57219668	36	hypermeth	57219632,57219643,57219668	3
1	57220676	57220745	69	hypermeth	57220676,57220714,57220745	3
1	57221358	57221375	17	hypermeth	57221358,57221368,57221375	3
1	57442223	57442389	166	hypermeth	57442223,57442264,57442342,57442353,57442364,57442389	6
1	57443392	57443505	113	hypermeth	57443392,57443413,57443465,57443496,57443505	5
1	57443620	57443786	166	hypermeth	57443620,57443632,57443678,57443685,57443689,57443719,57443726,57443739,57443750,57443761,57443786	11
1	57445217	57445252	35	hypermeth	57445217,57445223,57445240,57445252	4
1	57447095	57447155	60	hypermeth	57447095,57447103,57447118,57447126,57447145,57447155	6
1	57447322	57447358	36	hypermeth	57447322,57447333,57447358	3
1	57447908	57447991	83	hypermeth	57447908,57447960,57447991	3
1	57448110	57448284	174	hypermeth	57448110,57448117,57448129,57448133,57448158,57448175,57448182,57448186,57448224,57448237,57448248,57448259,57448284	13
1	57449812	57449859	47	hypermeth	57449812,57449823,57449834,57449859	4
1	57455475	57455641	166	hypermeth	57455475,57455487,57455516,57455533,57455540,57455544,57455574,57455581,57455594,57455605,57455616,57455641	12
1	57457561	57457726	165	hypermeth	57457561,57457572,57457601,57457618,57457625,57457629,57457659,57457666,57457679,57457690,57457701,57457726	12
1	57459045	57459116	71	hypermeth	57459045,57459056,57459063,57459116	4
1	57459221	57459281	60	hypermeth	57459221,57459238,57459264,57459281	4
1	57459662	57459698	36	hypermeth	57459662,57459673,57459698	3
1	57460748	57460819	71	hypermeth	57460748,57460759,57460766,57460819	4
1	57460924	57460984	60	hypermeth	57460924,57460941,57460967,57460984	4
1	57462661	57462696	35	hypermeth	57462661,57462667,57462684,57462696	4
1	57463386	57463433	47	hypermeth	57463386,57463397,57463408,57463433	4
1	57466813	57466918	105	hypermeth	57466813,57466825,57466844,57466849,57466875,57466887,57466899,57466906,57466918	9
1	57468436	57468590	154	hypermeth	57468436,57468465,57468482,57468489,57468493,57468530,57468543,57468554,57468565,57468590	10
1	57470063	57470123	60	hypermeth	57470063,57470086,57470094,57470123	4
1	57470290	57470326	36	hypermeth	57470290,57470301,57470326	3
1	57474705	57474824	119	hypermeth	57474705,57474717,57474746,57474763,57474770,57474774,57474811,57474824	8
1	57476101	57476337	236	hypermeth	57476101,57476113,57476142,57476159,57476166,57476170,57476207,57476220,57476231,57476242,57476267,57476337	12
1	57476506	57476611	105	hypermeth	57476506,57476518,57476537,57476542,57476568,57476580,57476592,57476611	8
1	57477700	57477789	89	hypermeth	57477700,57477715,57477723,57477742,57477752,57477789	6
1	57477919	57477955	36	hypermeth	57477919,57477930,57477955	3
1	57478787	57478978	191	hypermeth	57478787,57478795,57478826,57478900,57478918,57478935,57478961,57478978	8
1	57479083	57479143	60	hypermeth	57479083,57479136,57479143	3
1	57479902	57480056	154	hypermeth	57479902,57479927,57479938,57479949,57479962,57479969,57479999,57480003,57480010,57480027,57480056	11
1	57481805	57481914	109	hypermeth	57481805,57481835,57481914	3
1	57483439	57483606	167	hypermeth	57483439,57483464,57483475,57483486,57483499,57483506,57483536,57483540,57483547,57483593,57483606	11
1	57484454	57484560	106	hypermeth	57484454,57484466,57484495,57484512,57484523,57484553,57484560	7
1	57553378	57553505	127	hypermeth	57553378,57553388,57553400,57553410,57553505	5
1	57853046	57853247	201	hypermeth	57853046,57853058,57853127,57853136,57853163,57853200,57853230,57853247	8
1	58448701	58448866	165	hypermeth	58448701,58448729,58448739,58448745,58448748,58448757,58448764,58448776,58448782,58448798,58448805,58448816,58448819,58448866	14
1	58775375	58775458	83	hypermeth	58775375,58775427,58775446,58775458	4
1	59326799	59326860	61	hypometh	59326799,59326824,59326835,59326846,59326860	5
1	59387408	59387530	122	hypermeth	59387408,59387417,59387432,59387441,59387444,59387455,59387459,59387471,59387513,59387518,59387526,59387530	12
1	59420369	59420479	110	hypermeth	59420369,59420383,59420392,59420407,59420412,59420473,59420479	7
1	59432597	59432682	85	hypermeth	59432597,59432675,59432682	3
1	59432994	59433039	45	hypermeth	59432994,59433020,59433034,59433039	4
1	59433584	59433627	43	hypermeth	59433584,59433595,59433600,59433627	4
1	63932102	63932182	80	hypermeth	63932102,63932114,63932138,63932141,63932153,63932182	6
1	63932337	63932387	50	hypermeth	63932337,63932352,63932356,63932377,63932387	5
1	65323121	65323150	29	hypermeth	65323121,65323138,65323150	3
1	65325106	65325271	165	hypermeth	65325106,65325118,65325147,65325163,65325170,65325174,65325204,65325211,65325224,65325235,65325246,65325271	12
1	66023224	66023252	28	hypermeth	66023224,66023235,66023249,66023252	4
1	67028236	67028253	17	hypermeth	67028236,67028245,67028253	3
1	67087642	67087912	270	hypermeth	67087642,67087651,67087679,67087685,67087688,67087742,67087756,67087759,67087765,67087813,67087840,67087890,67087912	13
1	67116611	67116777	166	hypermeth	67116611,67116638,67116643,67116649,67116652,67116662,67116678,67116693,67116696,67116701,67116739,67116742,67116762,67116777	14
1	67341968	67342069	101	hypermeth	67341968,67341987,67342001,67342024,67342069	5
1	67343119	67343170	51	hypermeth	67343119,67343139,67343156,67343170	4
1	67843788	67843842	54	hypermeth	67843788,67843797,67843811,67843842	4
1	67852522	67852710	188	hypermeth	67852522,67852534,67852544,67852573,67852587,67852591,67852606,67852639,67852656,67852663,67852677,67852682,67852710	13
1	67947204	67947312	108	hypometh	67947204,67947225,67947284,67947312	4
1	68278368	68278509	141	hypermeth	68278368,68278371,68278377,68278389,68278416,68278467,68278486,68278497,68278509	9
1	68391550	68391602	52	hypometh	68391550,68391588,68391602	3
1	68965411	68965459	48	hypermeth	68965411,68965442,68965452,68965459	4
1	69289915	69290028	113	hypometh	69289915,69289942,69289955,69290028	4
1	69797474	69797493	19	hypometh	69797474,69797478,69797493	3
1	69936363	69936461	98	hypometh	69936363,69936395,69936397,69936461	4
1	70276222	70276314	92	hypermeth	70276222,70276229,70276238,70276263,70276278,70276283,70276301,70276305,70276314	9
1	71095944	71096002	58	hypermeth	71095944,71095970,71095976,71095982,71095987,71096002	6
1	71245886	71245972	86	hypometh	71245886,71245938,71245972	3
1	71312625	71312806	181	hypermeth	71312625,71312647,71312711,71312737,71312747,71312779,71312784,71312789,71312806	9
1	71396895	71396942	47	hypermeth	71396895,71396900,71396919,71396927,71396942	5
1	72107670	72107721	51	hypometh	72107670,72107712,72107721	3
1	72109061	72109190	129	hypermeth	72109061,72109135,72109155,72109190	4
1	72109303	72109399	96	hypermeth	72109303,72109335,72109345,72109376,72109399	5
1	72560923	72560969	46	hypermeth	72560923,72560940,72560969	3
1	72936155	72936245	90	hypermeth	72936155,72936215,72936229,72936239,72936245	5
1	73025543	73025617	74	hypometh	73025543,73025575,73025617	3
1	73036208	73036313	105	hypometh	73036208,73036241,73036277,73036313	4
1	73067804	73067820	16	hypometh	73067804,73067816,73067820	3
1	73104990	73105198	208	hypermeth	73104990,73105017,73105044,73105066,73105104,73105107,73105113,73105116,73105126,73105131,73105140,73105155,73105172,73105193,73105198	15
1	73491782	73491854	72	hypometh	73491782,73491811,73491814,73491823,73491854	5
1	73655040	73655151	111	hypermeth	73655040,73655052,73655060,73655088,73655117,73655133,73655137,73655151	8
1	73741772	73741858	86	hypermeth	73741772,73741794,73741803,73741811,73741814,73741819,73741828,73741835,73741848,73741858	10
1	73742026	73742129	103	hypermeth	73742026,73742043,73742069,73742100,73742129	5
1	73813199	73813293	94	hypometh	73813199,73813204,73813227,73813233,73813240,73813244,73813293	7
1	73829832	73829932	100	hypometh	73829832,73829849,73829853,73829908,73829932	5
1	73840069	73840238	169	hypermeth	73840069,73840094,73840171,73840219,73840238	5
1	73840352	73840456	104	hypermeth	73840352,73840388,73840426,73840436,73840439,73840456	6
1	73840627	73840636	9	hypermeth	73840627,73840632,73840636	3
1	73866513	73866562	49	hypometh	73866513,73866517,73866562	3
1	73871357	73871462	105	hypometh	73871357,73871371,73871386,73871403,73871435,73871443,73871462	7
1	73920091	73920209	118	hypermeth	73920091,73920178,73920193,73920197,73920209	5
1	74022000	74022090	90	hypometh	74022000,74022031,74022077,74022090	4
1	74041595	74041672	77	hypermeth	74041595,74041615,74041633,74041646,74041672	5
1	74072271	74072339	68	hypometh	74072271,74072300,74072339	3
1	74237895	74238019	124	hypermeth	74237895,74237945,74237948,74237958,74237984,74237992,74238010,74238019	8
1	78067108	78067160	52	hypometh	78067108,78067153,78067160	3
1	79783895	79784017	122	hypermeth	79783895,79783965,79783980,79783996,79784017	5
1	80225393	80225463	70	hypermeth	80225393,80225400,80225405,80225410,80225415,80225424,80225463	7
1	80647298	80647568	270	hypermeth	80647298,80647314,80647322,80647349,80647360,80647363,80647367,80647373,80647429,80647433,80647445,80647454,80647460,80647465,80647481,80647517,80647520,80647538,80647543,80647562,80647568	21
1	80661728	80661766	38	hypermeth	80661728,80661737,80661750,80661766	4
1	80673307	80673389	82	hypermeth	80673307,80673330,80673369,80673378,80673381,80673389	6
1	80721421	80721493	72	hypermeth	80721421,80721456,80721493	3
1	80935532	80935725	193	hypermeth	80935532,80935539,80935547,80935561,80935639,80935646,80935675,80935698,80935704,80935709,80935725	11
1	81029864	81029929	65	hypermeth	81029864,81029905,81029910,81029925,81029929	5
1	81117174	81117257	83	hypermeth	81117174,81117215,81117233,81117257	4
1	81202638	81202747	109	hypometh	81202638,81202670,81202678,81202698,81202747	5
1	81592569	81592676	107	hypermeth	81592569,81592600,81592606,81592629,81592655,81592676	6
1	82213259	82213359	100	hypometh	82213259,82213268,82213359	3
1	82270974	82271035	61	hypermeth	82270974,82270992,82270997,82271014,82271035	5
1	82457059	82457289	230	hypermeth	82457059,82457077,82457166,82457185,82457193,82457208,82457218,82457289	8
1	82573361	82573457	96	hypermeth	82573361,82573433,82573444,82573457	4
1	82739390	82739441	51	hypometh	82739390,82739417,82739441	3
1	83132017	83132142	125	hypometh	83132017,83132061,83132082,83132122,83132142	5
1	83148829	83149066	237	hypometh	83148829,83148858,83148951,83148965,83148971,83148989,83149004,83149066	8
1	83179403	83179448	45	hypermeth	83179403,83179427,83179448	3
1	83180452	83180529	77	hypermeth	83180452,83180475,83180493,83180507,83180529	5
1	83181549	83181574	25	hypermeth	83181549,83181557,83181569,83181574	4
1	83463127	83463178	51	hypermeth	83463127,83463133,83463160,83463164,83463175,83463178	6
1	83687945	83688025	80	hypermeth	83687945,83687952,83687966,83687973,83687987,83688002,83688005,83688019,83688022,83688025	10
1	84804676	84804712	36	hypermeth	84804676,84804687,84804712	3
1	85750320	85750422	102	hypermeth	85750320,85750344,85750355,85750360,85750376,85750397,85750422	7
1	85915420	85915449	29	hypometh	85915420,85915431,85915449	3
1	85922755	85922781	26	hypermeth	85922755,85922772,85922781	3
1	85951773	85951902	129	hypermeth	85951773,85951778,85951783,85951789,85951835,85951839,85951886,85951889,85951902	9
1	87048149	87048377	228	hypermeth	87048149,87048152,87048156,87048161,87048175,87048182,87048186,87048237,87048254,87048261,87048285,87048289,87048304,87048324,87048327,87048338,87048342,87048377	18
1	90311236	90311289	53	hypometh	90311236,90311268,90311289	3
1	94502722	94502800	78	hypometh	94502722,94502787,94502800	3
1	94522288	94522386	98	hypermeth	94522288,94522327,94522386	3
1	95796281	95796311	30	hypermeth	95796281,95796286,95796302,95796311	4
1	95796496	95796513	17	hypermeth	95796496,95796500,95796506,95796513	4
1	96244397	96244507	110	hypermeth	96244397,96244466,96244490,96244507	4
1	97307855	97307901	46	hypermeth	97307855,97307864,97307878,97307901	4
1	98346473	98346652	179	hypermeth	98346473,98346482,98346512,98346522,98346530,98346535,98346544,98346551,98346562,98346569,98346579,98346588,98346600,98346608,98346652	15
1	103003637	103003685	48	hypermeth	103003637,103003648,103003677,103003685	4
1	103877696	103877822	126	hypermeth	103877696,103877712,103877732,103877747,103877822	5
1	104043079	104043146	67	hypermeth	104043079,104043143,104043146	3
1	104146646	104146803	157	hypermeth	104146646,104146659,104146677,104146698,104146739,104146743,104146758,104146767,104146784,104146791,104146800,104146803	12
1	108377225	108377253	28	hypometh	108377225,108377239,108377253	3
1	110672354	110672436	82	hypermeth	110672354,110672383,110672390,110672436	4
