Chromosome	Start	End	CovA1	FreqCA1	CovB1	FreqCB1	Methyl diff	Methylation state in Condition_A
1	59433584	59433585	17	17	19	0	100.0	hypermeth
1	59433627	59433628	14	14	17	0	100.0	hypermeth
1	63397135	63397136	12	12	13	0	100.0	hypermeth
1	63932182	63932183	12	12	19	0	100.0	hypermeth
1	64793844	64793845	10	10	11	0	100.0	hypermeth
1	67341968	67341969	16	16	29	0	100.0	hypermeth
1	67341987	67341988	17	17	19	0	100.0	hypermeth
1	67342371	67342372	13	13	10	0	100.0	hypermeth
1	67342451	67342452	14	14	10	0	100.0	hypermeth
1	67843780	67843781	14	14	20	0	100.0	hypermeth
1	68045789	68045790	20	0	16	16	-100.0	hypometh
1	69818373	69818374	16	0	13	13	-100.0	hypometh
1	69936363	69936364	23	0	13	13	-100.0	hypometh
1	69936455	69936456	24	0	14	14	-100.0	hypometh
1	70103302	70103303	14	0	13	13	-100.0	hypometh
1	70243929	70243930	12	0	11	11	-100.0	hypometh
1	71396895	71396896	13	13	19	0	100.0	hypermeth
1	71396919	71396920	15	15	25	0	100.0	hypermeth
1	73006893	73006894	12	0	10	10	-100.0	hypometh
1	73025626	73025627	12	0	13	13	-100.0	hypometh
1	73036313	73036314	13	0	21	21	-100.0	hypometh
1	73105044	73105045	12	12	34	0	100.0	hypermeth
1	73105066	73105067	14	14	33	0	100.0	hypermeth
1	73105107	73105108	16	16	22	0	100.0	hypermeth
1	73105202	73105203	15	15	14	0	100.0	hypermeth
1	73105213	73105214	15	15	14	0	100.0	hypermeth
1	73105230	73105231	15	15	14	0	100.0	hypermeth
1	73413805	73413806	15	0	19	19	-100.0	hypometh
1	73742129	73742130	17	17	13	0	100.0	hypermeth
1	73813227	73813228	14	0	13	13	-100.0	hypometh
1	73829832	73829833	15	0	18	18	-100.0	hypometh
1	73829908	73829909	15	0	18	18	-100.0	hypometh
1	73840388	73840389	14	14	24	0	100.0	hypermeth
1	73840436	73840437	14	14	25	0	100.0	hypermeth
1	73840439	73840440	14	14	25	0	100.0	hypermeth
1	73840456	73840457	14	14	25	0	100.0	hypermeth
1	73840483	73840484	11	11	10	0	100.0	hypermeth
1	73840488	73840489	11	11	10	0	100.0	hypermeth
1	73840515	73840516	11	11	10	0	100.0	hypermeth
1	73840526	73840527	11	11	10	0	100.0	hypermeth
1	73840627	73840628	14	14	13	0	100.0	hypermeth
1	73840632	73840633	14	14	13	0	100.0	hypermeth
1	73840636	73840637	14	14	12	0	100.0	hypermeth
1	73871357	73871358	16	0	22	22	-100.0	hypometh
1	73871371	73871372	19	0	22	22	-100.0	hypometh
1	73871403	73871404	20	0	21	21	-100.0	hypometh
1	73871435	73871436	20	0	22	22	-100.0	hypometh
1	73871443	73871444	20	0	22	22	-100.0	hypometh
1	73871462	73871463	20	0	22	22	-100.0	hypometh
1	73871487	73871488	10	0	12	12	-100.0	hypometh
1	80225400	80225401	17	17	28	0	100.0	hypermeth
1	80225405	80225406	17	17	28	0	100.0	hypermeth
1	80225415	80225416	17	17	28	0	100.0	hypermeth
1	80673381	80673382	14	14	24	0	100.0	hypermeth
1	81592569	81592570	13	13	15	0	100.0	hypermeth
1	82271035	82271036	12	12	18	0	100.0	hypermeth
1	82457289	82457290	10	10	10	0	100.0	hypermeth
1	83132013	83132014	10	0	14	14	-100.0	hypometh
1	83132082	83132083	21	0	11	11	-100.0	hypometh
1	83148989	83148990	19	0	29	29	-100.0	hypometh
1	83180493	83180494	15	15	30	0	100.0	hypermeth
1	83180507	83180508	15	15	30	0	100.0	hypermeth
1	83442084	83442085	11	11	24	0	100.0	hypermeth
1	83442147	83442148	11	11	24	0	100.0	hypermeth
1	83466226	83466227	13	13	19	0	100.0	hypermeth
1	83687987	83687988	14	14	10	0	100.0	hypermeth
1	83688019	83688020	14	14	10	0	100.0	hypermeth
1	83688022	83688023	14	14	10	0	100.0	hypermeth
1	83688025	83688026	14	14	10	0	100.0	hypermeth
1	85951886	85951887	16	16	23	0	100.0	hypermeth
1	93564163	93564164	10	10	10	0	100.0	hypermeth
1	94502722	94502723	16	0	13	13	-100.0	hypometh
1	98346473	98346474	23	23	18	0	100.0	hypermeth
1	98346530	98346531	23	23	18	0	100.0	hypermeth
1	98346544	98346545	23	23	18	0	100.0	hypermeth
1	98346551	98346552	23	23	18	0	100.0	hypermeth
1	98346579	98346580	19	19	19	0	100.0	hypermeth
1	98346600	98346601	18	18	34	0	100.0	hypermeth
1	98346652	98346653	10	10	21	0	100.0	hypermeth
1	98641938	98641939	13	13	13	0	100.0	hypermeth
1	98641978	98641979	13	13	13	0	100.0	hypermeth
1	98642001	98642002	13	13	13	0	100.0	hypermeth
1	98642086	98642087	13	13	13	0	100.0	hypermeth
1	104146803	104146804	12	12	10	0	100.0	hypermeth
1	108377239	108377240	15	0	14	14	-100.0	hypometh
1	109647519	109647520	10	0	10	10	-100.0	hypometh
1	111349342	111349343	14	0	28	28	-100.0	hypometh
1	111630197	111630198	15	15	21	0	100.0	hypermeth
1	111630200	111630201	15	15	21	0	100.0	hypermeth
1	111630218	111630219	15	15	21	0	100.0	hypermeth
1	111630271	111630272	19	19	11	0	100.0	hypermeth
1	111630280	111630281	19	19	11	0	100.0	hypermeth
1	111630680	111630681	14	14	13	0	100.0	hypermeth
1	115567499	115567500	11	11	11	0	100.0	hypermeth
1	116220092	116220093	17	0	25	25	-100.0	hypometh
1	117253875	117253876	11	11	16	0	100.0	hypermeth
1	117253892	117253893	11	11	16	0	100.0	hypermeth
1	117253917	117253918	11	11	16	0	100.0	hypermeth
1	117253936	117253937	11	11	16	0	100.0	hypermeth
1	119307870	119307871	14	0	10	10	-100.0	hypometh
1	119307881	119307882	24	0	22	22	-100.0	hypometh
1	120013191	120013192	22	22	12	0	100.0	hypermeth
1	121894625	121894626	23	0	19	19	-100.0	hypometh
1	126873481	126873482	12	12	32	0	100.0	hypermeth
1	126873512	126873513	12	12	32	0	100.0	hypermeth
1	126873523	126873524	12	12	32	0	100.0	hypermeth
1	126873556	126873557	12	12	32	0	100.0	hypermeth
1	127042638	127042639	10	10	14	0	100.0	hypermeth
1	127042647	127042648	10	10	14	0	100.0	hypermeth
1	127042710	127042711	10	10	13	0	100.0	hypermeth
1	127042748	127042749	10	10	17	0	100.0	hypermeth
1	127129476	127129477	14	14	12	0	100.0	hypermeth
1	127129508	127129509	14	14	12	0	100.0	hypermeth
1	127129535	127129536	14	14	10	0	100.0	hypermeth
1	127129554	127129555	14	14	12	0	100.0	hypermeth
1	127129570	127129571	14	14	12	0	100.0	hypermeth
1	127129605	127129606	14	14	12	0	100.0	hypermeth
1	128184528	128184529	18	18	27	0	100.0	hypermeth
1	128288033	128288034	14	14	18	0	100.0	hypermeth
1	128660002	128660003	11	0	14	14	-100.0	hypometh
1	128660042	128660043	14	0	26	26	-100.0	hypometh
1	128660089	128660090	14	0	26	26	-100.0	hypometh
1	128660111	128660112	14	0	26	26	-100.0	hypometh
1	128900865	128900866	14	14	18	0	100.0	hypermeth
1	128900893	128900894	19	19	10	0	100.0	hypermeth
1	128900918	128900919	19	19	10	0	100.0	hypermeth
1	128900924	128900925	19	19	10	0	100.0	hypermeth
1	128900927	128900928	19	19	10	0	100.0	hypermeth
1	128900982	128900983	19	19	10	0	100.0	hypermeth
1	128901023	128901024	19	19	10	0	100.0	hypermeth
1	128901316	128901317	13	13	20	0	100.0	hypermeth
1	128901340	128901341	13	13	21	0	100.0	hypermeth
1	128901351	128901352	13	13	21	0	100.0	hypermeth
1	128901360	128901361	13	13	21	0	100.0	hypermeth
1	128901363	128901364	13	13	21	0	100.0	hypermeth
1	128901559	128901560	14	14	21	0	100.0	hypermeth
1	128901578	128901579	14	14	21	0	100.0	hypermeth
1	129291940	129291941	13	13	14	0	100.0	hypermeth
1	129389176	129389177	16	16	29	0	100.0	hypermeth
1	129389195	129389196	16	16	29	0	100.0	hypermeth
1	131149506	131149507	16	16	14	0	100.0	hypermeth
1	131155792	131155793	19	19	14	0	100.0	hypermeth
1	131156136	131156137	25	25	21	0	100.0	hypermeth
1	132191496	132191497	17	17	24	0	100.0	hypermeth
1	132191558	132191559	10	10	13	0	100.0	hypermeth
1	132326198	132326199	20	20	29	0	100.0	hypermeth
1	135047987	135047988	14	14	22	0	100.0	hypermeth
1	138513598	138513599	15	15	16	0	100.0	hypermeth
1	138513606	138513607	23	23	15	0	100.0	hypermeth
1	138622394	138622395	15	15	16	0	100.0	hypermeth
1	138652744	138652745	15	15	34	0	100.0	hypermeth
1	138652749	138652750	15	15	34	0	100.0	hypermeth
1	138652794	138652795	15	15	34	0	100.0	hypermeth
1	138676145	138676146	17	17	13	0	100.0	hypermeth
1	138814751	138814752	19	19	29	0	100.0	hypermeth
1	138814823	138814824	17	17	31	0	100.0	hypermeth
1	138815288	138815289	10	10	20	0	100.0	hypermeth
1	138815304	138815305	14	14	13	0	100.0	hypermeth
1	141349642	141349643	13	13	12	0	100.0	hypermeth
1	141349800	141349801	13	13	12	0	100.0	hypermeth
1	141841247	141841248	12	12	12	0	100.0	hypermeth
1	142175560	142175561	12	12	19	0	100.0	hypermeth
1	142987592	142987593	20	20	25	0	100.0	hypermeth
1	142987614	142987615	20	20	25	0	100.0	hypermeth
1	143020948	143020949	14	14	14	0	100.0	hypermeth
1	143020964	143020965	14	14	14	0	100.0	hypermeth
1	143020975	143020976	14	14	14	0	100.0	hypermeth
1	143021002	143021003	14	14	14	0	100.0	hypermeth
1	143021019	143021020	14	14	14	0	100.0	hypermeth
1	143021067	143021068	14	14	14	0	100.0	hypermeth
1	143021139	143021140	11	11	13	0	100.0	hypermeth
1	143021150	143021151	11	11	13	0	100.0	hypermeth
1	143021155	143021156	11	11	13	0	100.0	hypermeth
1	143021243	143021244	10	10	14	0	100.0	hypermeth
1	143021248	143021249	15	15	25	0	100.0	hypermeth
1	143021293	143021294	15	15	25	0	100.0	hypermeth
1	143021382	143021383	18	18	25	0	100.0	hypermeth
1	143021418	143021419	18	18	24	0	100.0	hypermeth
1	143021481	143021482	18	18	25	0	100.0	hypermeth
1	143021645	143021646	10	10	10	0	100.0	hypermeth
1	143021917	143021918	11	11	22	0	100.0	hypermeth
1	143585814	143585815	14	14	16	0	100.0	hypermeth
1	143585903	143585904	13	13	19	0	100.0	hypermeth
1	143585946	143585947	13	13	19	0	100.0	hypermeth
1	143585972	143585973	13	13	19	0	100.0	hypermeth
1	143585978	143585979	13	13	19	0	100.0	hypermeth
1	143612935	143612936	16	16	22	0	100.0	hypermeth
1	143740793	143740794	10	10	19	0	100.0	hypermeth
1	143741266	143741267	19	19	24	0	100.0	hypermeth
1	144428528	144428529	19	0	20	20	-100.0	hypometh
1	144780872	144780873	22	22	24	0	100.0	hypermeth
1	144895734	144895735	18	0	14	14	-100.0	hypometh
1	144895760	144895761	15	0	14	14	-100.0	hypometh
1	144895769	144895770	18	0	14	14	-100.0	hypometh
1	144895825	144895826	19	0	14	14	-100.0	hypometh
1	144895829	144895830	13	0	11	11	-100.0	hypometh
1	144896000	144896001	21	0	23	23	-100.0	hypometh
1	144896059	144896060	17	0	21	21	-100.0	hypometh
1	144896072	144896073	17	0	20	20	-100.0	hypometh
1	144896095	144896096	17	0	20	20	-100.0	hypometh
1	144896171	144896172	16	0	13	13	-100.0	hypometh
1	144899265	144899266	13	0	11	11	-100.0	hypometh
1	144900928	144900929	15	0	11	11	-100.0	hypometh
1	144960139	144960140	19	0	15	15	-100.0	hypometh
1	144960169	144960170	19	0	15	15	-100.0	hypometh
1	144960210	144960211	12	0	11	11	-100.0	hypometh
1	144960219	144960220	12	0	11	11	-100.0	hypometh
1	144960246	144960247	12	0	11	11	-100.0	hypometh
1	144960344	144960345	11	0	11	11	-100.0	hypometh
1	144960349	144960350	11	0	11	11	-100.0	hypometh
1	144960363	144960364	11	0	11	11	-100.0	hypometh
1	145054486	145054487	22	22	18	0	100.0	hypermeth
1	145054548	145054549	22	22	18	0	100.0	hypermeth
1	145106800	145106801	14	14	14	0	100.0	hypermeth
1	145106810	145106811	14	14	14	0	100.0	hypermeth
1	145107164	145107165	18	18	14	0	100.0	hypermeth
1	145107169	145107170	18	18	14	0	100.0	hypermeth
1	145107184	145107185	18	18	14	0	100.0	hypermeth
1	145107228	145107229	18	18	14	0	100.0	hypermeth
1	145107275	145107276	10	10	18	0	100.0	hypermeth
1	145107284	145107285	14	14	21	0	100.0	hypermeth
1	145107318	145107319	14	14	21	0	100.0	hypermeth
1	145107322	145107323	14	14	21	0	100.0	hypermeth
1	145107335	145107336	14	14	21	0	100.0	hypermeth
1	145107475	145107476	13	13	10	0	100.0	hypermeth
1	145107495	145107496	13	13	10	0	100.0	hypermeth
1	145107511	145107512	13	13	10	0	100.0	hypermeth
1	145107523	145107524	13	13	10	0	100.0	hypermeth
1	145107526	145107527	13	13	10	0	100.0	hypermeth
1	145107607	145107608	12	12	10	0	100.0	hypermeth
1	145107639	145107640	13	13	10	0	100.0	hypermeth
1	145107680	145107681	10	10	16	0	100.0	hypermeth
1	145107693	145107694	19	19	21	0	100.0	hypermeth
1	145107732	145107733	20	20	21	0	100.0	hypermeth
1	145107739	145107740	20	20	21	0	100.0	hypermeth
1	145108118	145108119	17	17	42	0	100.0	hypermeth
1	145108150	145108151	17	17	42	0	100.0	hypermeth
1	145108176	145108177	17	17	42	0	100.0	hypermeth
1	145108188	145108189	17	17	42	0	100.0	hypermeth
1	145132954	145132955	13	0	16	16	-100.0	hypometh
1	145162906	145162907	21	0	14	14	-100.0	hypometh
1	145282037	145282038	15	15	16	0	100.0	hypermeth
1	145460676	145460677	13	0	12	12	-100.0	hypometh
1	145466101	145466102	10	10	16	0	100.0	hypermeth
1	145466183	145466184	10	10	16	0	100.0	hypermeth
1	145466190	145466191	10	10	16	0	100.0	hypermeth
1	145466197	145466198	10	10	16	0	100.0	hypermeth
1	145466210	145466211	10	10	16	0	100.0	hypermeth
1	145487428	145487429	12	0	19	19	-100.0	hypometh
1	145487438	145487439	12	0	19	19	-100.0	hypometh
1	145635868	145635869	10	0	11	11	-100.0	hypometh
1	145635874	145635875	10	0	11	11	-100.0	hypometh
1	145714819	145714820	31	0	24	24	-100.0	hypometh
1	145714826	145714827	26	0	22	22	-100.0	hypometh
1	145714853	145714854	15	0	12	12	-100.0	hypometh
1	145714881	145714882	15	0	12	12	-100.0	hypometh
1	145714942	145714943	26	0	20	20	-100.0	hypometh
1	145838030	145838031	20	0	15	15	-100.0	hypometh
1	145838058	145838059	20	0	15	15	-100.0	hypometh
1	145838108	145838109	20	0	15	15	-100.0	hypometh
1	145838114	145838115	20	0	15	15	-100.0	hypometh
1	145862141	145862142	20	0	20	20	-100.0	hypometh
1	145897942	145897943	15	0	19	19	-100.0	hypometh
1	145973537	145973538	12	12	15	0	100.0	hypermeth
1	145988765	145988766	11	11	13	0	100.0	hypermeth
1	146043822	146043823	19	0	21	21	-100.0	hypometh
1	146043846	146043847	19	0	21	21	-100.0	hypometh
1	146132070	146132071	13	0	10	10	-100.0	hypometh
1	146147098	146147099	17	0	19	19	-100.0	hypometh
1	146147129	146147130	19	0	15	15	-100.0	hypometh
1	146147138	146147139	28	0	14	14	-100.0	hypometh
1	146147147	146147148	28	0	14	14	-100.0	hypometh
1	146147172	146147173	28	0	14	14	-100.0	hypometh
1	146147276	146147277	21	0	16	16	-100.0	hypometh
1	146190709	146190710	11	0	11	11	-100.0	hypometh
1	146217961	146217962	20	20	24	0	100.0	hypermeth
1	146311199	146311200	11	0	12	12	-100.0	hypometh
1	146320605	146320606	22	0	16	16	-100.0	hypometh
1	146320665	146320666	20	0	18	18	-100.0	hypometh
1	146321057	146321058	22	0	16	16	-100.0	hypometh
1	146321060	146321061	22	0	16	16	-100.0	hypometh
1	146321101	146321102	22	0	16	16	-100.0	hypometh
1	146436150	146436151	18	18	21	0	100.0	hypermeth
1	146436163	146436164	19	19	30	0	100.0	hypermeth
1	146436186	146436187	19	19	30	0	100.0	hypermeth
1	146599462	146599463	16	0	20	20	-100.0	hypometh
1	146735652	146735653	12	12	12	0	100.0	hypermeth
1	146854575	146854576	17	17	14	0	100.0	hypermeth
1	147038643	147038644	21	21	31	0	100.0	hypermeth
1	147039068	147039069	15	15	14	0	100.0	hypermeth
1	147039116	147039117	15	15	14	0	100.0	hypermeth
1	147039121	147039122	15	15	14	0	100.0	hypermeth
1	147058076	147058077	17	17	13	0	100.0	hypermeth
1	147058108	147058109	17	17	13	0	100.0	hypermeth
1	147058119	147058120	17	17	13	0	100.0	hypermeth
1	147058126	147058127	17	17	13	0	100.0	hypermeth
1	147058131	147058132	17	17	13	0	100.0	hypermeth
1	147058153	147058154	17	17	13	0	100.0	hypermeth
1	147120370	147120371	16	0	15	15	-100.0	hypometh
1	147120499	147120500	16	0	12	12	-100.0	hypometh
1	147127461	147127462	19	0	16	16	-100.0	hypometh
1	147127509	147127510	17	0	18	18	-100.0	hypometh
1	147332565	147332566	17	0	24	24	-100.0	hypometh
1	147336172	147336173	10	0	22	22	-100.0	hypometh
1	147344044	147344045	17	0	19	19	-100.0	hypometh
1	147406580	147406581	12	12	13	0	100.0	hypermeth
1	147406583	147406584	12	12	13	0	100.0	hypermeth
1	147406625	147406626	10	10	35	0	100.0	hypermeth
1	147406660	147406661	10	10	35	0	100.0	hypermeth
1	147555776	147555777	10	10	14	0	100.0	hypermeth
1	147555808	147555809	10	10	14	0	100.0	hypermeth
1	147556168	147556169	17	17	17	0	100.0	hypermeth
1	147556171	147556172	17	17	17	0	100.0	hypermeth
1	147564903	147564904	14	14	16	0	100.0	hypermeth
1	147564922	147564923	12	12	21	0	100.0	hypermeth
1	147564925	147564926	12	12	21	0	100.0	hypermeth
1	147564941	147564942	12	12	21	0	100.0	hypermeth
1	147564991	147564992	12	12	21	0	100.0	hypermeth
1	147565097	147565098	10	10	26	0	100.0	hypermeth
1	147565267	147565268	12	12	12	0	100.0	hypermeth
1	147565405	147565406	12	12	12	0	100.0	hypermeth
1	147565784	147565785	10	10	12	0	100.0	hypermeth
1	148132157	148132158	19	19	11	0	100.0	hypermeth
1	148132169	148132170	19	19	11	0	100.0	hypermeth
1	148132172	148132173	19	19	11	0	100.0	hypermeth
1	148678863	148678864	11	11	27	0	100.0	hypermeth
1	148678873	148678874	11	11	28	0	100.0	hypermeth
1	148678881	148678882	11	11	28	0	100.0	hypermeth
1	148678885	148678886	11	11	28	0	100.0	hypermeth
1	148678919	148678920	13	13	15	0	100.0	hypermeth
1	148678994	148678995	17	17	12	0	100.0	hypermeth
1	148679004	148679005	22	22	28	0	100.0	hypermeth
1	148679007	148679008	21	21	28	0	100.0	hypermeth
1	148679026	148679027	22	22	28	0	100.0	hypermeth
1	148679034	148679035	22	22	28	0	100.0	hypermeth
1	148679054	148679055	22	22	28	0	100.0	hypermeth
1	148679079	148679080	22	22	28	0	100.0	hypermeth
1	148679102	148679103	17	17	22	0	100.0	hypermeth
1	148947993	148947994	26	0	22	22	-100.0	hypometh
1	148948000	148948001	26	0	22	22	-100.0	hypometh
1	148948032	148948033	26	0	22	22	-100.0	hypometh
1	148948069	148948070	26	0	20	20	-100.0	hypometh
1	148948098	148948099	31	0	28	28	-100.0	hypometh
1	148948189	148948190	20	0	28	28	-100.0	hypometh
1	148948194	148948195	17	0	27	27	-100.0	hypometh
1	148948284	148948285	11	0	15	15	-100.0	hypometh
1	149837757	149837758	25	25	31	0	100.0	hypermeth
1	150029148	150029149	18	18	24	0	100.0	hypermeth
1	150029198	150029199	19	19	24	0	100.0	hypermeth
1	150029277	150029278	26	26	32	0	100.0	hypermeth
1	150029306	150029307	26	26	32	0	100.0	hypermeth
1	150029732	150029733	12	12	14	0	100.0	hypermeth
1	150249964	150249965	15	15	10	0	100.0	hypermeth
1	150250002	150250003	10	10	32	0	100.0	hypermeth
1	150500883	150500884	15	0	10	10	-100.0	hypometh
1	150513411	150513412	12	0	14	14	-100.0	hypometh
1	150513424	150513425	12	0	15	15	-100.0	hypometh
1	150513452	150513453	12	0	15	15	-100.0	hypometh
1	150513464	150513465	12	0	15	15	-100.0	hypometh
1	150513482	150513483	18	0	21	21	-100.0	hypometh
1	150587535	150587536	17	17	24	0	100.0	hypermeth
1	150587875	150587876	13	13	21	0	100.0	hypermeth
1	150681711	150681712	13	0	12	12	-100.0	hypometh
1	150681735	150681736	12	0	11	11	-100.0	hypometh
1	150681844	150681845	13	0	12	12	-100.0	hypometh
1	150682400	150682401	24	0	27	27	-100.0	hypometh
1	150682500	150682501	21	0	22	22	-100.0	hypometh
1	150685472	150685473	19	0	18	18	-100.0	hypometh
1	150687006	150687007	11	0	14	14	-100.0	hypometh
1	150724064	150724065	10	0	13	13	-100.0	hypometh
1	150835978	150835979	10	10	15	0	100.0	hypermeth
1	150836047	150836048	19	19	31	0	100.0	hypermeth
1	150883246	150883247	17	17	31	0	100.0	hypermeth
1	151152522	151152523	11	11	13	0	100.0	hypermeth
1	151165885	151165886	15	15	21	0	100.0	hypermeth
1	151165900	151165901	15	15	21	0	100.0	hypermeth
1	151165915	151165916	15	15	21	0	100.0	hypermeth
1	151165954	151165955	10	10	12	0	100.0	hypermeth
1	151165970	151165971	10	10	12	0	100.0	hypermeth
1	151166831	151166832	17	17	14	0	100.0	hypermeth
1	151166937	151166938	29	29	22	0	100.0	hypermeth
1	151451567	151451568	10	10	11	0	100.0	hypermeth
1	151451632	151451633	10	10	11	0	100.0	hypermeth
1	151451649	151451650	10	10	11	0	100.0	hypermeth
1	151451762	151451763	18	18	17	0	100.0	hypermeth
