Chromosome	DMR start	DMR end	DMR length	Methylation state for Condition_A	List of DMCs	Number of DMCs
1	29210967	29211010	43	hypermeth	29210967,29210979,29211010	3
1	29319289	29319390	101	hypermeth	29319289,29319300,29319382,29319390	4
1	34830636	34830743	107	hypermeth	34830636,34830648,34830677,34830694,34830701,34830705,34830736,34830743	8
1	34832083	34832252	169	hypermeth	34832083,34832087,34832123,34832135,34832146,34832157,34832182,34832222,34832226,34832252	10
1	34922368	34922485	117	hypermeth	34922368,34922438,34922463,34922474,34922485	5
1	37691029	37691182	153	hypermeth	37691029,37691040,37691045,37691050,37691059,37691063,37691072,37691081,37691085,37691092,37691109,37691182	12
1	43647948	43648003	55	hypermeth	43647948,43647954,43647964,43647967,43647970,43647992,43647998,43648003	8
1	43648206	43648271	65	hypermeth	43648206,43648221,43648248,43648271	4
1	44922550	44922641	91	hypermeth	44922550,44922560,44922568,44922572,44922576,44922589,44922599,44922613,44922626,44922641	10
1	45142510	45142766	256	hypermeth	45142510,45142521,45142532,45142557,45142633,45142687,45142766	7
1	45143957	45144166	209	hypermeth	45143957,45144033,45144087,45144166	4
1	45145411	45145544	133	hypermeth	45145411,45145465,45145544	3
1	45726716	45726823	107	hypermeth	45726716,45726729,45726736,45726766,45726770,45726777,45726794,45726823	8
1	45728056	45728239	183	hypermeth	45728056,45728072,45728108,45728132,45728139,45728169,45728180,45728226,45728239	9
1	45731449	45731538	89	hypermeth	45731449,45731486,45731515,45731523,45731538	5
1	45733091	45733159	68	hypermeth	45733091,45733099,45733116,45733142,45733159	5
1	45733264	45733335	71	hypermeth	45733264,45733317,45733324,45733335	4
1	45734130	45734256	126	hypermeth	45734130,45734143,45734150,45734180,45734191,45734208,45734237,45734249,45734256	9
1	45735311	45735844	533	hypermeth	45735311,45735324,45735331,45735361,45735389,45735418,45735430,45735526,45735544,45735587,45735679,45735696,45735722,45735739,45735768,45735798,45735815,45735822,45735825,45735834,45735841,45735844	22
1	56720274	56720362	88	hypometh	56720274,56720284,56720289,56720321,56720351,56720362	6
1	57219259	57219386	127	hypermeth	57219259,57219269,57219281,57219291,57219305,57219343,57219374,57219382,57219386	9
1	57219632	57219668	36	hypermeth	57219632,57219643,57219668	3
1	57443620	57443786	166	hypermeth	57443620,57443632,57443678,57443685,57443689,57443719,57443726,57443739,57443750,57443786	10
1	57447095	57447155	60	hypermeth	57447095,57447103,57447118,57447126,57447145,57447155	6
1	57447908	57447991	83	hypermeth	57447908,57447960,57447991	3
1	57448110	57448284	174	hypermeth	57448110,57448117,57448129,57448133,57448158,57448175,57448186,57448224,57448248,57448259,57448284	11
1	57449812	57449859	47	hypermeth	57449812,57449823,57449834,57449859	4
1	57455475	57455641	166	hypermeth	57455475,57455487,57455516,57455533,57455540,57455544,57455574,57455581,57455605,57455616,57455641	11
1	57457601	57457726	125	hypermeth	57457601,57457618,57457625,57457629,57457659,57457666,57457679,57457690,57457701,57457726	10
1	57459045	57459116	71	hypermeth	57459045,57459063,57459116	3
1	57460748	57460819	71	hypermeth	57460748,57460759,57460766,57460819	4
1	57460924	57460984	60	hypermeth	57460924,57460941,57460967,57460984	4
1	57466813	57466918	105	hypermeth	57466813,57466825,57466844,57466849,57466875,57466887,57466899,57466906,57466918	9
1	57474705	57474824	119	hypermeth	57474705,57474717,57474763,57474774,57474811,57474824	6
1	57476101	57476267	166	hypermeth	57476101,57476142,57476159,57476170,57476207,57476220,57476231,57476242,57476267	9
1	57477700	57477789	89	hypermeth	57477700,57477752,57477789	3
1	57477919	57477955	36	hypermeth	57477919,57477930,57477955	3
1	57478826	57478978	152	hypermeth	57478826,57478900,57478918,57478935,57478961,57478978	6
1	57479083	57479143	60	hypermeth	57479083,57479136,57479143	3
1	57479902	57480056	154	hypermeth	57479902,57479938,57479949,57479962,57479969,57479999,57480010,57480027,57480056	9
1	57484454	57484560	106	hypermeth	57484454,57484466,57484495,57484512,57484523,57484553,57484560	7
1	57853127	57853247	120	hypermeth	57853127,57853136,57853163,57853200,57853230,57853247	6
1	65325106	65325271	165	hypermeth	65325106,65325118,65325147,65325174,65325204,65325211,65325224,65325235,65325271	9
1	67341968	67342069	101	hypermeth	67341968,67342001,67342024,67342069	4
1	67843788	67843842	54	hypermeth	67843788,67843811,67843842	3
1	67852544	67852710	166	hypermeth	67852544,67852573,67852587,67852591,67852606,67852639,67852656,67852663,67852677,67852682,67852710	11
1	71095944	71096002	58	hypermeth	71095944,71095970,71095976,71095987,71096002	5
1	73104990	73105198	208	hypermeth	73104990,73105017,73105044,73105066,73105104,73105107,73105116,73105126,73105131,73105140,73105155,73105172,73105193,73105198	14
1	73871357	73871462	105	hypometh	73871357,73871371,73871386,73871403,73871435,73871443,73871462	7
1	80225393	80225463	70	hypermeth	80225393,80225400,80225405,80225410,80225415,80225424,80225463	7
1	80673307	80673389	82	hypermeth	80673307,80673330,80673381,80673389	4
1	82270974	82271035	61	hypermeth	82270974,82270992,82270997,82271035	4
1	83180452	83180529	77	hypermeth	83180452,83180475,83180493,83180507,83180529	5
1	84804676	84804712	36	hypermeth	84804676,84804687,84804712	3
1	116105842	116105993	151	hypermeth	116105842,116105894,116105901,116105993	4
1	116108054	116108208	154	hypermeth	116108054,116108079,116108090,116108101,116108114,116108121,116108151,116108162,116108179,116108208	10
1	119307870	119307925	55	hypometh	119307870,119307881,119307892,119307910,119307925	5
1	124944908	124945027	119	hypermeth	124944908,124944920,124944949,124944966,124944973,124944977,124945007,124945014,124945027	9
1	124947443	124947609	166	hypermeth	124947443,124947455,124947484,124947501,124947512,124947542,124947549,124947562,124947573,124947584,124947609	11
1	124949804	124949970	166	hypermeth	124949804,124949816,124949845,124949862,124949873,124949903,124949910,124949923,124949934,124949945,124949970	11
1	124951415	124951532	117	hypermeth	124951415,124951426,124951462,124951532	4
1	124953136	124953183	47	hypermeth	124953136,124953147,124953158,124953183	4
1	124954369	124954535	166	hypermeth	124954369,124954379,124954387,124954416,124954428,124954457,124954474,124954485,124954515,124954522,124954535	11
1	125497309	125497356	47	hypermeth	125497309,125497320,125497331,125497356	4
1	125498484	125498544	60	hypermeth	125498484,125498492,125498507,125498515,125498534,125498544	6
1	125498712	125498748	36	hypermeth	125498712,125498723,125498748	3
1	128184807	128184893	86	hypermeth	128184807,128184816,128184819,128184823,128184856,128184873,128184883,128184893	8
1	128660002	128660111	109	hypometh	128660002,128660089,128660111	3
1	128900865	128901023	158	hypermeth	128900865,128900893,128900924,128900927,128900982,128901023	6
1	128901287	128901578	291	hypermeth	128901287,128901299,128901305,128901312,128901316,128901340,128901351,128901360,128901363,128901454,128901465,128901480,128901508,128901519,128901524,128901532,128901559,128901578	18
1	131156100	131156180	80	hypermeth	131156100,131156116,131156120,131156127,131156136,131156165,131156180	7
1	138652744	138652834	90	hypermeth	138652744,138652749,138652754,138652766,138652794,138652800,138652834	7
1	139208991	139209027	36	hypermeth	139208991,139209002,139209027	3
1	142987592	142987685	93	hypermeth	142987592,142987604,142987614,142987685	4
1	143021248	143021497	249	hypermeth	143021248,143021264,143021271,143021293,143021382,143021418,143021436,143021442,143021455,143021470,143021481,143021497	12
1	144074485	144074658	173	hypermeth	144074485,144074537,144074568,144074576,144074598,144074606,144074621,144074629,144074648,144074658	10
1	144075999	144076262	263	hypermeth	144075999,144076022,144076030,144076049,144076059,144076089,144076096,144076108,144076137,144076154,144076165,144076195,144076202,144076215,144076226,144076237,144076262	17
1	144079504	144079680	176	hypermeth	144079504,144079516,144079522,144079568,144079639,144079649,144079680	7
1	144080304	144080471	167	hypermeth	144080304,144080316,144080345,144080362,144080373,144080411,144080435,144080446,144080471	9
1	144082127	144082149	22	hypermeth	144082127,144082138,144082149	3
1	144083716	144083763	47	hypermeth	144083716,144083727,144083738,144083763	4
1	144084995	144085161	166	hypermeth	144084995,144085007,144085036,144085053,144085064,144085094,144085101,144085114,144085125,144085136,144085161	11
1	144085867	144086034	167	hypermeth	144085867,144085876,144085907,144085937,144085945,144085960,144085968,144085997,144086027,144086034	10
1	144087400	144087607	207	hypermeth	144087400,144087412,144087441,144087458,144087469,144087499,144087506,144087530,144087541,144087566,144087607	11
1	144092254	144092309	55	hypermeth	144092254,144092266,144092297,144092309	4
1	144097481	144097538	57	hypermeth	144097481,144097485,144097492,144097509,144097538	5
1	144100387	144100553	166	hypermeth	144100387,144100399,144100428,144100445,144100456,144100486,144100493,144100506,144100553	9
1	144103889	144104055	166	hypermeth	144103889,144103901,144103930,144103947,144103958,144103988,144103995,144104019,144104030,144104055	10
1	144105046	144105161	115	hypermeth	144105046,144105056,144105130,144105161	4
1	144108906	144109187	281	hypermeth	144108906,144108931,144108942,144108953,144108966,144108973,144109014,144109101,144109109,144109138,144109146,144109161,144109187	13
1	144112089	144112299	210	hypermeth	144112089,144112093,144112133,144112158,144112169,144112180,144112193,144112200,144112230,144112241,144112258,144112287,144112299	13
1	144112418	144112541	123	hypermeth	144112418,144112426,144112457,144112510,144112531,144112541	6
1	144113688	144113925	237	hypermeth	144113688,144113700,144113729,144113746,144113753,144113757,144113788,144113795,144113808,144113819,144113830,144113855,144113925	13
1	144115702	144115821	119	hypermeth	144115702,144115714,144115743,144115760,144115767,144115771,144115801,144115808,144115821	9
1	144118405	144118522	117	hypermeth	144118405,144118416,144118427,144118452,144118522	5
1	144119084	144119119	35	hypermeth	144119084,144119090,144119107,144119119	4
1	144120338	144120573	235	hypermeth	144120338,144120350,144120379,144120396,144120436,144120443,144120456,144120467,144120478,144120503,144120573	11
1	144122198	144122362	164	hypermeth	144122198,144122204,144122221,144122230,144122250,144122331,144122362	7
1	144124008	144124172	164	hypermeth	144124008,144124014,144124031,144124040,144124060,144124131,144124134,144124141,144124152,144124172	10
1	144124447	144124552	105	hypermeth	144124447,144124491,144124534,144124552	4
1	144126090	144126137	47	hypermeth	144126090,144126115,144126126,144126137	4
1	144130689	144130855	166	hypermeth	144130689,144130701,144130730,144130747,144130758,144130788,144130795,144130808,144130819,144130830,144130855	11
1	144339389	144339418	29	hypermeth	144339389,144339395,144339418	3
1	144428343	144428535	192	hypometh	144428343,144428385,144428418,144428431,144428454,144428470,144428522,144428528,144428535	9
1	144895734	144895825	91	hypometh	144895734,144895760,144895769,144895825	4
1	144895963	144896095	132	hypometh	144895963,144895990,144896000,144896059,144896072,144896095	6
1	144960109	144960187	78	hypometh	144960109,144960113,144960135,144960139,144960169,144960179,144960187	7
1	145107152	145107228	76	hypermeth	145107152,145107160,145107164,145107169,145107184,145107228	6
1	145107680	145107739	59	hypermeth	145107680,145107693,145107711,145107716,145107732,145107739	6
1	145108113	145108252	139	hypermeth	145108113,145108118,145108137,145108140,145108150,145108161,145108164,145108176,145108188,145108193,145108206,145108223,145108240,145108252	14
1	145323268	145323406	138	hypermeth	145323268,145323291,145323321,145323338,145323348,145323406	6
1	145714779	145715027	248	hypometh	145714779,145714783,145714819,145714826,145714886,145714929,145714942,145715027	8
1	146043779	146043846	67	hypometh	146043779,146043822,146043827,146043846	4
1	146321022	146321122	100	hypometh	146321022,146321030,146321040,146321057,146321060,146321101,146321122	7
1	146436150	146436186	36	hypermeth	146436150,146436163,146436179,146436183,146436186	5
1	146735250	146735419	169	hypermeth	146735250,146735254,146735260,146735286,146735291,146735333,146735339,146735349,146735371,146735378,146735401,146735419	12
1	146735562	146735652	90	hypermeth	146735562,146735567,146735592,146735602,146735621,146735652	6
1	147058076	147058197	121	hypermeth	147058076,147058108,147058126,147058131,147058153,147058170,147058188,147058197	8
1	147406605	147406663	58	hypermeth	147406605,147406608,147406625,147406660,147406663	5
1	147564903	147565064	161	hypermeth	147564903,147564941,147564991,147565064	4
1	148678994	148679102	108	hypermeth	148678994,148679004,148679007,148679016,148679026,148679034,148679054,148679060,148679070,148679075,148679079,148679099,148679102	13
1	148947895	148948284	389	hypometh	148947895,148947977,148947993,148948000,148948032,148948048,148948069,148948098,148948114,148948162,148948189,148948194,148948284	13
1	149837691	149837765	74	hypermeth	149837691,149837705,149837757,149837765	4
1	150029029	150029338	309	hypermeth	150029029,150029042,150029087,150029101,150029117,150029134,150029138,150029148,150029158,150029198,150029210,150029225,150029274,150029277,150029288,150029296,150029306,150029312,150029338	19
1	150513335	150513550	215	hypometh	150513335,150513373,150513383,150513411,150513424,150513464,150513472,150513482,150513550	9
1	150688793	150688866	73	hypometh	150688793,150688807,150688830,150688866	4
1	150835978	150836072	94	hypermeth	150835978,150835981,150835996,150836006,150836022,150836028,150836047,150836060,150836072	9
1	150883171	150883250	79	hypermeth	150883171,150883209,150883235,150883246,150883250	5
1	151166831	151166937	106	hypermeth	151166831,151166837,151166843,151166937	4
1	151564976	151565057	81	hypermeth	151564976,151564998,151565001,151565009,151565038,151565045,151565057	7
1	152380915	152381214	299	hypermeth	152380915,152380929,152380948,152380956,152380984,152381011,152381037,152381052,152381064,152381069,152381076,152381103,152381114,152381174,152381177,152381187,152381191,152381196,152381214	19
1	152509575	152509634	59	hypometh	152509575,152509629,152509634	3
1	152514620	152514721	101	hypometh	152514620,152514635,152514645,152514680,152514699,152514721	6
1	152515402	152515540	138	hypometh	152515402,152515405,152515414,152515417,152515446,152515505,152515540	7
1	153203395	153203512	117	hypermeth	153203395,153203406,153203417,153203442,153203486,153203512	6
1	153204784	153204890	106	hypermeth	153204784,153204795,153204820,153204890	4
1	153207105	153207341	236	hypermeth	153207105,153207117,153207125,153207146,153207163,153207204,153207211,153207224,153207235,153207246,153207271,153207341	12
1	153208980	153209086	106	hypermeth	153208980,153208992,153209021,153209038,153209045,153209049,153209079,153209086	8
1	153211478	153211526	48	hypermeth	153211478,153211503,153211514,153211526	4
1	153212494	153212660	166	hypermeth	153212494,153212506,153212535,153212552,153212559,153212563,153212593,153212600,153212613,153212624,153212635,153212660	12
1	153213663	153213829	166	hypermeth	153213663,153213688,153213699,153213710,153213723,153213730,153213760,153213764,153213771,153213788,153213817,153213829	12
1	153216232	153216332	100	hypermeth	153216232,153216240,153216270,153216321,153216332	5
1	153217865	153217947	82	hypermeth	153217865,153217887,153217895,153217905,153217924,153217932,153217944,153217947	8
1	153218649	153218772	123	hypermeth	153218649,153218656,153218669,153218679,153218686,153218689,153218692,153218729,153218741,153218748,153218754,153218758,153218772	13
1	154030024	154030100	76	hypermeth	154030024,154030033,154030047,154030062,154030067,154030096,154030100	7
1	154037191	154037363	172	hypermeth	154037191,154037270,154037304,154037310,154037313,154037332,154037363	7
1	154064203	154064285	82	hypometh	154064203,154064215,154064258,154064272,154064275,154064285	6
1	154222461	154222506	45	hypermeth	154222461,154222464,154222484,154222495,154222506	5
1	154223078	154223208	130	hypermeth	154223078,154223102,154223116,154223119,154223135,154223182,154223208	7
1	154960454	154960568	114	hypermeth	154960454,154960480,154960489,154960508,154960525,154960568	6
1	155161872	155162157	285	hypermeth	155161872,155161893,155161930,155161934,155161943,155161961,155161981,155162026,155162030,155162049,155162055,155162071,155162082,155162095,155162101,155162107,155162127,155162147,155162157	19
1	155182694	155182733	39	hypermeth	155182694,155182698,155182705,155182713,155182718,155182730,155182733	7
1	155406064	155406211	147	hypermeth	155406064,155406098,155406139,155406143,155406155,155406164,155406174,155406179,155406183,155406211	10
1	155685613	155685679	66	hypermeth	155685613,155685653,155685662,155685673,155685676,155685679	6
1	155741585	155741924	339	hypermeth	155741585,155741606,155741612,155741674,155741704,155741723,155741735,155741759,155741793,155741801,155741810,155741816,155741823,155741828,155741838,155741861,155741878,155741884,155741896,155741924	20
1	155752474	155752542	68	hypermeth	155752474,155752489,155752499,155752510,155752524,155752538,155752542	7
1	155752740	155752847	107	hypermeth	155752740,155752770,155752776,155752788,155752806,155752823,155752837,155752847	8
1	155775175	155775249	74	hypermeth	155775175,155775222,155775249	3
1	155775764	155776046	282	hypermeth	155775764,155775803,155775832,155775908,155775919,155775929,155775936,155775997,155776003,155776019,155776035,155776040,155776046	13
1	155801873	155802164	291	hypermeth	155801873,155801883,155801895,155801899,155801948,155801957,155801973,155802029,155802034,155802039,155802057,155802086,155802098,155802101,155802125,155802131,155802148,155802164	18
1	155802501	155802584	83	hypermeth	155802501,155802517,155802522,155802538,155802574,155802579,155802584	7
1	155816521	155816593	72	hypermeth	155816521,155816524,155816563,155816566,155816589,155816593	6
1	155817095	155817228	133	hypermeth	155817095,155817115,155817199,155817223,155817228	5
1	156640579	156640867	288	hypermeth	156640579,156640586,156640593,156640605,156640608,156640615,156640699,156640704,156640712,156640753,156640781,156640784,156640796,156640818,156640831,156640867	16
1	156685375	156685636	261	hypermeth	156685375,156685414,156685435,156685438,156685449,156685481,156685490,156685499,156685583,156685612,156685622,156685636	12
1	156849439	156849491	52	hypermeth	156849439,156849444,156849461,156849481,156849491	5
1	156900034	156900200	166	hypermeth	156900034,156900051,156900079,156900098,156900105,156900174,156900200	7
1	157171112	157171916	804	hypermeth	157171112,157171126,157171143,157171146,157171153,157171167,157171174,157171207,157171215,157171219,157171257,157171260,157171272,157171278,157171294,157171310,157171314,157171334,157171359,157171369,157171384,157171387,157171393,157171410,157171414,157171428,157171459,157171468,157171481,157171487,157171495,157171499,157171591,157171600,157171603,157171612,157171618,157171630,157171633,157171650,157171664,157171670,157171680,157171719,157171723,157171737,157171743,157171830,157171836,157171850,157171867,157171882,157171889,157171895,157171916	55
1	157588458	157588476	18	hypermeth	157588458,157588461,157588476	3
1	157926664	157926752	88	hypermeth	157926664,157926673,157926684,157926752	4
1	157940333	157940387	54	hypermeth	157940333,157940349,157940363,157940376,157940387	5
1	158153333	158153449	116	hypermeth	158153333,158153351,158153359,158153366,158153382,158153436,158153449	7
1	158197975	158198038	63	hypermeth	158197975,158198005,158198014,158198032,158198038	5
1	158289988	158290086	98	hypermeth	158289988,158289999,158290044,158290057,158290074,158290086	6
