Chromosome	Start	End	CovA1	FreqCA1	CovA2	FreqCA2	CovB1	FreqCB1	CovB2	FreqCB2	Methyl diff	Methylation state in Condition_A
1	157171153	157171154	11	11	11	11	26	0	31	0	100.0	hypermeth
1	157171167	157171168	11	11	11	11	26	0	31	0	100.0	hypermeth
1	157171174	157171175	11	11	11	11	26	0	31	0	100.0	hypermeth
1	157171207	157171208	13	13	11	11	23	0	17	0	100.0	hypermeth
1	157171215	157171216	13	13	11	11	23	0	18	0	100.0	hypermeth
1	157171219	157171220	13	13	11	11	23	0	18	0	100.0	hypermeth
1	157171272	157171273	22	22	19	19	27	0	21	0	100.0	hypermeth
1	157171278	157171279	22	22	19	19	27	0	22	0	100.0	hypermeth
1	157171294	157171295	22	22	19	19	27	0	22	0	100.0	hypermeth
1	157171310	157171311	18	18	17	17	25	0	34	0	100.0	hypermeth
1	157171314	157171315	19	19	26	26	17	0	24	0	100.0	hypermeth
1	157171384	157171385	19	19	26	26	18	0	25	0	100.0	hypermeth
1	157171459	157171460	18	18	23	23	20	0	35	0	100.0	hypermeth
1	157171680	157171681	11	11	14	14	23	0	21	0	100.0	hypermeth
1	157171719	157171720	14	14	16	16	16	0	27	0	100.0	hypermeth
1	157171723	157171724	14	14	16	16	16	0	27	0	100.0	hypermeth
1	157171737	157171738	14	14	16	16	16	0	27	0	100.0	hypermeth
1	157171743	157171744	14	14	16	16	16	0	27	0	100.0	hypermeth
1	157171830	157171831	15	15	19	19	12	0	21	0	100.0	hypermeth
1	157171867	157171868	18	18	27	27	18	0	25	0	100.0	hypermeth
1	157171889	157171890	18	18	27	27	19	0	25	0	100.0	hypermeth
1	157171916	157171917	18	18	27	27	19	0	25	0	100.0	hypermeth
1	157940333	157940334	10	10	29	29	31	0	20	0	100.0	hypermeth
1	158152742	158152743	19	19	17	17	14	0	25	0	100.0	hypermeth
1	158153366	158153367	17	17	27	27	39	0	23	0	100.0	hypermeth
