Chromosome	Start	End	Type
18	8121534	8121593	Low_complexity
18	11745930	11746064	LINE
18	12660335	12660425	DNA
18	13870715	13870921	SINE
18	16346589	16346710	SINE
18	17822180	17822574	LTR
18	18393128	18393220	Simple_repeat
18	19161970	19162361	LTR
18	22407577	22407719	DNA
18	23559696	23567998	LINE
18	25987181	25987280	DNA
18	40538386	40538488	LINE
18	45524087	45524404	LTR
18	48875427	48875607	SINE
18	48897829	48897993	LTR
18	51638902	51638950	Simple_repeat
18	53772830	53772861	Simple_repeat
18	54573956	54574007	Low_complexity
18	55536196	55536233	Simple_repeat
18	56563595	56563745	SINE
18	59576360	59576566	SINE
18	60629063	60630338	LTR
18	61337806	61339601	LINE
18	61616858	61617576	LTR
18	62477358	62477462	Simple_repeat
18	62759162	62759260	DNA
19	65466	67735	Satellite
19	67835	70734	Satellite
19	13251171	13251233	SINE
19	14889553	14889642	SINE
19	16190644	16191135	LTR
19	24213657	24213778	LINE
19	25651489	25651762	LINE
19	25894184	25894505	SINE
19	27933763	27933794	Simple_repeat
19	29084039	29084116	Simple_repeat
19	43868395	43868612	LINE
19	43868860	43869032	SINE
19	44099541	44099826	SINE
19	44954776	44954827	Low_complexity
19	54262856	54262901	Simple_repeat
19	56155957	56155990	Low_complexity
19	56325714	56325862	SINE
19	57340953	57342880	Satellite
19	57942742	57943086	SINE
19	58205295	58205806	LINE
19	58280789	58280980	LINE
19	58480069	58480195	DNA
19	58806008	58806104	DNA
19	59819987	59820187	SINE
19	61921939	61924538	Satellite
19	62200458	62200581	DNA
19	62461967	62462112	SINE
2	92794	124648	Satellite
2	4775769	4775864	SINE
2	5675263	5675485	SINE
2	10156180	10163421	LINE
2	20857566	20857620	Simple_repeat
2	22398160	22398211	SINE
2	45283811	45284345	LINE
2	50246340	50247205	LINE
2	71597837	71598114	LINE
2	100631699	100634199	Satellite
2	100653080	100656488	Satellite
2	108479043	108479110	SINE
2	108479045	108479120	SINE
2	111911899	111912889	LINE
2	115901606	115902243	LTR
2	116655108	116655191	Low_complexity
2	121604268	121604307	Low_complexity
2	122651174	122651282	Low_complexity
2	123356928	123357092	SINE
2	124792809	124793060	LTR
2	124986251	124987747	Satellite
2	126784683	126785062	LINE
2	127391748	127391783	Simple_repeat
2	129656247	129656976	LINE
2	131505308	131505438	SINE
2	134273409	134273559	SINE
2	134397860	134398081	SINE
2	135065851	135065993	SINE
2	135099684	135099909	LINE
2	135348940	135349045	SINE
2	135444978	135445266	SINE
2	135844743	135844973	SINE
20	739671	739835	SINE
20	3132305	3132372	Simple_repeat
20	3220361	3220426	Simple_repeat
20	18044494	18044645	Simple_repeat
20	32881191	32882483	LINE
20	35376421	35376447	Simple_repeat
20	36527943	36528234	SINE
20	36608107	36608393	DNA
20	57851764	57851823	LINE
20	60861676	60862952	LTR
20	67813013	67813045	Low_complexity
20	70363469	70363671	SINE
20	71775077	71775104	Simple_repeat
21	117013	117741	LTR
21	1883666	1883785	rRNA
21	1896670	1896782	SINE
21	2121548	2122794	Satellite
21	6755928	6755999	LINE
21	8475957	8476327	LTR
21	13554739	13555598	LINE
21	19142704	19143024	SINE
21	19879627	19882199	Satellite
21	22079082	22086152	LINE
21	33968202	33968517	SINE
21	35080868	35080909	Simple_repeat
21	37274325	37274363	Simple_repeat
21	63989195	63989580	LINE
21	65659702	65659769	SINE
21	66766293	66766493	SINE
21	67100852	67100912	LINE
21	67115074	67115731	LTR
21	68734756	68736047	LINE
21	69113876	69114151	SINE
21	69420598	69420655	Simple_repeat
21	70226203	70227058	LINE
21	70896354	70896599	LINE
22	5901607	5901929	LINE
22	7670861	7671159	SINE
22	12966887	12966922	Simple_repeat
22	16129591	16129765	SINE
22	37255547	37255784	SINE
22	37930688	37931976	Satellite
22	53633983	53636681	Satellite
22	53644951	53646941	Satellite
22	54642649	54642921	SINE
22	56509572	56509771	SINE
22	58626452	58626605	SINE
22	58996429	58996537	LINE
22	59058871	59058906	Low_complexity
22	59319797	59320826	LINE
22	59592223	59592347	LTR
22	59678954	59679164	SINE
22	60032538	60033492	LINE
22	60089126	60089215	SINE
22	60488915	60488984	Simple_repeat
23	6534538	6534650	DNA
23	8572882	8572949	SINE
23	10136616	10137007	LINE
23	10136776	10137111	LINE
23	10509644	10510263	LTR
23	11376462	11377639	Satellite
23	12323064	12323640	LINE
23	13341106	13341600	LTR
23	13778809	13779005	SINE
23	17087440	17087488	Simple_repeat
23	19714768	19714813	Low_complexity
23	20054570	20054784	SINE
23	30904450	30904607	LTR
23	41172379	41172473	Simple_repeat
23	48412636	48413519	LINE
23	50063907	50064220	SINE
23	50129123	50129497	LTR
23	50447002	50448290	LINE
24	73252	91692	Satellite
24	12805606	12805733	LTR
24	15183250	15184430	LTR
24	19817752	19817832	Simple_repeat
24	33373054	33373097	Simple_repeat
24	36674615	36682977	LINE
24	37496774	37496823	Simple_repeat
24	43488665	43488702	Simple_repeat
24	54311839	54312368	LINE
24	54786532	54786591	Simple_repeat
24	58282357	58282424	Simple_repeat
24	58282504	58282554	Simple_repeat
24	59249487	59249659	SINE
24	60581721	60581888	LINE
24	61388819	61388864	Low_complexity
25	405275	405315	Simple_repeat
25	1230758	1230923	LINE
25	1391324	1391399	Simple_repeat
25	2202243	2202518	SINE
25	2584568	2584641	tRNA
25	7985533	7985735	SINE
25	10743926	10744016	Low_complexity
25	13350358	13350399	Simple_repeat
25	18093279	18093346	SINE
25	18895963	18898145	Satellite
25	19013582	19016329	Satellite
25	19021490	19023265	Satellite
25	19037790	19040641	Satellite
25	21498588	21498827	SINE
25	22431274	22431350	LTR
25	27608269	27608471	SINE
25	30338433	30341954	Satellite
25	30355504	30357192	Satellite
25	34699990	34700587	LTR
25	34813829	34813917	LINE
25	35452573	35456144	Satellite
25	36083650	36083717	SINE
25	39314743	39314982	LTR
25	39319832	39319868	Simple_repeat
25	41415281	41415435	SINE
25	42073268	42073452	SINE
26	3191080	3191147	SINE
26	16773854	16773961	LINE
26	20551202	20551375	SINE
26	21390701	21390811	Simple_repeat
26	23466263	23466455	LTR
26	24492356	24492463	Simple_repeat
26	25942566	25942684	SINE
26	34148569	34148932	Satellite
26	40473082	40475069	Satellite
26	40477284	40481233	Satellite
26	43276896	43276944	Simple_repeat
26	44417349	44417415	Simple_repeat
26	49689029	49689450	LINE
26	50235381	50235774	LTR
26	50343891	50343958	SINE
26	50865781	50865994	SINE
26	51679468	51679537	SINE
27	4534106	4534283	LTR
27	10378648	10383590	Satellite
27	25384196	25384263	SINE
27	28537982	28538839	Satellite
27	28851415	28851669	LTR
27	29235349	29235503	Satellite
27	33005981	33006251	LINE
27	33780344	33780414	Simple_repeat
27	36208977	36209208	SINE
27	36818875	36819126	SINE
27	37606660	37609481	Satellite
27	37609581	37612180	Satellite
27	37617510	37620049	Satellite
27	37641095	37643012	Satellite
27	44479022	44480326	LINE
28	5433662	5433999	SINE
28	5573993	5574264	SINE
28	7840218	7840328	LINE
28	18026517	18026634	SINE
28	22069595	22069719	SINE
28	27842799	27842858	DNA
28	28868083	28868118	Simple_repeat
28	31992873	31995458	Satellite
28	39277697	39286282	Satellite
28	39311990	39316450	Satellite
28	41744473	41745185	LINE
28	42580927	42581131	SINE
29	1266170	1266817	LTR
29	1468417	1468688	SINE
29	7403544	7403611	SINE
29	7403546	7403619	SINE
29	13464250	13464371	LTR
29	19413201	19413860	Satellite
29	19439043	19440624	Satellite
29	30205816	30205950	SINE
29	33813131	33813540	LTR
29	46471119	46471294	SINE
29	46582333	46583785	Satellite
29	47565996	47566161	SINE
29	47770519	47770680	SINE
29	48810963	48811030	SINE
29	49351426	49351465	Low_complexity
29	49388668	49388723	Low_complexity
29	50250505	50250575	Low_complexity
29	51283758	51284915	LINE
29	51295693	51295772	Simple_repeat
29	51351152	51352388	LINE
3	1035512	1036265	Satellite
3	8381893	8381953	Simple_repeat
3	9537363	9537465	Simple_repeat
3	14504746	14504875	SINE
3	15634301	15634343	Simple_repeat
3	25802095	25803391	LINE
3	28180548	28182117	LTR
3	30627545	30628105	SINE
3	35010753	35012171	LINE
3	43221008	43221676	LINE
3	51916416	51916716	LINE
3	55755881	55757196	LINE
3	73111393	73111513	Simple_repeat
3	75546350	75546425	SINE
3	80581898	80581949	Simple_repeat
3	82752597	82754685	Satellite
3	82792418	82794216	Satellite
3	82821331	82823078	Satellite
3	82908070	82909618	Satellite
3	86552009	86554370	Satellite
3	86728165	86730537	Satellite
3	99970229	99975322	LTR
3	102423814	102423889	Low_complexity
3	113271804	113272294	LTR
3	117949690	117949762	SINE
3	118158356	118158446	Simple_repeat
3	118675603	118681501	Satellite
3	119141136	119141254	SINE
3	120245884	120246265	LTR
3	120608346	120608413	Low_complexity
3	120769452	120769492	Simple_repeat
3	121374578	121374759	SINE
4	38039	39012	Satellite
4	11298879	11301555	Satellite
4	11307558	11309131	Satellite
4	20769671	20770417	LINE
4	28957889	28960559	Satellite
4	28963210	28965651	Satellite
4	28976906	28979089	Satellite
4	28981949	28983887	Satellite
4	29394345	29394568	SINE
4	34855282	34855348	SINE
4	41492856	41493322	Satellite
4	51994990	51996400	Satellite
4	58842497	58842564	SINE
4	61315451	61315716	SINE
4	82292314	82292503	SINE
4	97077670	97077927	SINE
4	98740142	98741465	Satellite
4	98747425	98751454	Satellite
4	98757633	98760541	Satellite
4	106015151	106015218	SINE
4	107113222	107113514	SINE
4	109519025	109522940	LINE
4	112920289	112920633	SINE
4	115279645	115279925	SINE
4	116275169	116276433	LTR
4	116581366	116581540	SINE
4	117049813	117049878	SINE
4	117810462	117810664	LTR
5	5478500	5478711	SINE
5	9057558	9057842	SINE
5	10014472	10014673	LINE
5	24777958	24778161	SINE
5	27965404	27965557	SINE
5	29385595	29386016	LINE
5	29979517	29979581	Simple_repeat
5	30098110	30098137	Simple_repeat
5	32276360	32276563	SINE
5	38674455	38674542	Simple_repeat
5	42222490	42224718	LTR
5	42954408	42955412	LINE
5	47614893	47617919	Satellite
5	51111946	51112176	SINE
5	51209240	51209341	Simple_repeat
5	54748552	54748820	SINE
5	59939847	59941149	LINE
5	66678591	66678832	SINE
5	68127704	68127740	Simple_repeat
5	83594151	83596035	Satellite
5	93929815	93930225	LINE
5	109628996	109629410	LINE
5	110279682	110279707	Simple_repeat
5	111520709	111520777	LINE
5	114112039	114112787	Satellite
5	114113031	114113415	Satellite
5	114167920	114168176	LTR
5	114221797	114222138	Satellite
5	114627606	114627656	Simple_repeat
5	115918583	115918681	SINE
5	115976044	115978431	Satellite
5	116349266	116349400	SINE
5	118077632	118077701	SINE
5	118221358	118221477	SINE
5	119897374	119897441	SINE
5	120412081	120412670	LINE
5	120464585	120464814	LTR
5	120729409	120729470	SINE
5	120939483	120939766	LTR
6	6728619	6734708	LINE
6	10352666	10355784	Satellite
6	10357637	10362365	Satellite
6	16847021	16847057	Low_complexity
6	17965186	17966503	Satellite
6	18008088	18010759	Satellite
6	26738514	26746810	LINE
6	26969793	26972283	Satellite
6	56670962	56672829	Satellite
6	61815503	61815713	LTR
6	61924311	61924378	SINE
6	68157255	68157810	LTR
6	89460632	89460667	Simple_repeat
6	94801918	94810214	LINE
6	101638239	101638448	LINE
6	106728565	106728796	LTR
6	108450510	108450903	LINE
6	108476245	108476556	SINE
6	109500005	109500050	Simple_repeat
6	118437269	118437331	Simple_repeat
6	119093228	119093248	Simple_repeat
7	4114977	4115129	SINE
7	4251754	4251786	Simple_repeat
7	6385008	6385108	Simple_repeat
7	7856688	7856773	SINE
7	8720725	8720767	Simple_repeat
7	10379462	10380753	LTR
7	18205930	18205966	Simple_repeat
7	19270154	19270239	SINE
7	21882813	21882862	Low_complexity
7	30025960	30026474	Satellite
7	32388826	32388894	Simple_repeat
7	34813462	34813742	Satellite
7	41620104	41623092	Satellite
7	51688001	51688069	Low_complexity
7	62774192	62774234	Simple_repeat
7	62965140	62965293	LINE
7	63064681	63064751	Simple_repeat
7	67634562	67634762	SINE
7	71962440	71965119	Satellite
7	74640890	74643053	Satellite
7	76523338	76524222	LINE
7	93164978	93167022	Satellite
7	100312763	100312891	SINE
7	100737852	100738345	LTR
7	105875331	105875582	LTR
7	105898349	105899688	LTR
7	105906324	105907193	Satellite
7	109130327	109130486	SINE
7	109520219	109520278	LTR
7	110019443	110021036	Satellite
8	109467	110792	LINE
8	8573787	8573906	SINE
8	14344652	14345218	LINE
8	24921920	24924151	Satellite
8	36101002	36103567	Satellite
8	38931372	38931442	Low_complexity
8	39858658	39858932	LINE
8	39912468	39913487	LINE
8	43786472	43786541	Simple_repeat
8	53706517	53706696	DNA
8	56733079	56735609	Satellite
8	56742676	56747493	Satellite
8	56772544	56777111	Satellite
8	56815727	56817201	Satellite
8	66014047	66014661	LINE
8	71112530	71112745	SINE
8	74499536	74499879	LTR
8	74675590	74676080	Satellite
8	76337515	76340424	Satellite
8	80926336	80927397	LINE
8	81766926	81767836	LINE
8	89134333	89134455	SINE
8	90445943	90445977	Simple_repeat
8	95099053	95100210	LINE
8	97488739	97490423	LINE
8	104948365	104948519	SINE
8	110669876	110671732	Satellite
8	110748722	110750421	Satellite
9	34662	35615	Satellite
9	34794251	34794295	Simple_repeat
9	43644723	43644783	SINE
9	45029757	45031752	Satellite
9	53543364	53546518	Satellite
9	53579011	53582053	Satellite
9	70180910	70181012	Simple_repeat
9	88596169	88599810	Satellite
9	95395088	95395155	SINE
9	96028304	96028487	DNA
9	100679063	100679265	SINE
9	105215810	105215943	Simple_repeat
X	588085	589083	LINE
X	6119499	6120769	LINE
X	13564528	13564575	Simple_repeat
X	14121415	14122575	Satellite
X	20203604	20203722	SINE
X	24050817	24050974	SINE
X	30922860	30922945	Simple_repeat
X	39827384	39827427	Simple_repeat
X	53961109	53961383	SINE
X	74868806	74868850	Simple_repeat
X	75927187	75927938	LTR
X	83153321	83156234	Satellite
X	84742689	84743209	LINE
X	84851874	84851920	Simple_repeat
X	97681044	97683565	LINE
X	100097875	100099043	Satellite
X	100100788	100101884	Satellite
X	100104653	100106464	Satellite
X	135829779	135832745	Satellite
X	137489368	137489564	LINE
X	145956311	145956623	SINE
X	146639780	146640109	SINE
X	147138893	147139165	SINE
