Ensembl Gene ID	Associated Gene Name	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSBTAG00000000564		Neuron-specific protein family member 2  [Source:UniProtKB/Swiss-Prot;Acc:Q0VCZ0]	20	5656110	5727730	1
ENSBTAG00000015874	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	27	14084622	14110610	-1
ENSBTAG00000035333		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1B9F5]	21	1899414	1917513	-1
ENSBTAG00000013211	CFAP97	cilia and flagella associated protein 97 [Source:HGNC Symbol;Acc:HGNC:29276]	27	14553986	14572723	-1
ENSBTAG00000017157	CCDC110	coiled-coil domain containing 110 [Source:HGNC Symbol;Acc:HGNC:28504]	27	14748843	14760880	-1
ENSBTAG00000015885	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	16	553235	589649	1
ENSBTAG00000009125	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	21	5795677	5833339	-1
ENSBTAG00000021263	CYP4V2	cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]	27	15306993	15323391	1
ENSBTAG00000020657	FAT1	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]	27	15477549	15604015	-1
ENSBTAG00000043990	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2 [Source:HGNC Symbol;Acc:HGNC:18114]	23	184673	864355	-1
ENSBTAG00000012443	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	12	2130595	2695362	1
ENSBTAG00000021333	REN	renin [Source:HGNC Symbol;Acc:HGNC:9958]	16	1752891	1762733	-1
ENSBTAG00000008639	TRIML1	probable E3 ubiquitin-protein ligase TRIML1  [Source:RefSeq peptide;Acc:NP_001192797]	27	16733403	16740345	1
ENSBTAG00000019823	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]	21	6514360	6924114	1
ENSBTAG00000013074	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	16	1966721	1972162	-1
ENSBTAG00000024633	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	16	1981479	2030002	-1
ENSBTAG00000021527	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	21	8208822	8268093	1
ENSBTAG00000034885	RGCC	regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369]	12	11625778	11641053	1
ENSBTAG00000045895	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	16	2557488	2629557	1
ENSBTAG00000020514			21	8377896	8452307	1
ENSBTAG00000018007	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	21	10793104	10806663	-1
ENSBTAG00000007321	SREK1	splicing regulatory glutamic acid and lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:17882]	20	13393479	13436297	-1
ENSBTAG00000017776	CHD2	chromodomain helicase DNA binding protein 2  [Source:RefSeq peptide;Acc:NP_001095651]	21	14390575	14483806	-1
ENSBTAG00000014645	CNTN2	contactin 2 [Source:HGNC Symbol;Acc:HGNC:2172]	16	2654177	2683555	1
ENSBTAG00000000570	RET	proto-oncogene tyrosine-protein kinase receptor Ret precursor  [Source:RefSeq peptide;Acc:NP_001178412]	28	13562993	13615888	1
ENSBTAG00000017533	LRRC1	leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]	23	6530409	6580289	-1
ENSBTAG00000008924	TNFSF11	tumor necrosis factor superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	12	12741069	12782474	1
ENSBTAG00000020084	LONRF1	LON peptidase N-terminal domain and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:26302]	27	23317248	23362082	1
ENSBTAG00000016618	DSTYK	dual serine/threonine and tyrosine protein kinase [Source:HGNC Symbol;Acc:HGNC:29043]	16	2763988	2815425	-1
ENSBTAG00000009358	MTSS1L	metastasis suppressor 1 like [Source:HGNC Symbol;Acc:HGNC:25094]	18	1531382	1545901	1
ENSBTAG00000018774		NUAK family, SNF1-like kinase, 2; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q3SX34]	16	2894913	2914079	-1
ENSBTAG00000023806			4	4494964	4728977	1
ENSBTAG00000015197	KLHDC8A	kelch domain containing 8A [Source:HGNC Symbol;Acc:HGNC:25573]	16	2930874	2936327	-1
ENSBTAG00000006870	RASGEF1A	RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]	28	13689051	13698277	-1
ENSBTAG00000020869	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	4	5253835	5347715	1
ENSBTAG00000022989	FAM174B	family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]	21	14690052	14729722	1
ENSBTAG00000027074	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	21	16214670	16460490	-1
ENSBTAG00000037383	AKAP13	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	21	16720161	16909145	1
ENSBTAG00000046664			12	14843776	14846181	-1
ENSBTAG00000046156	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10863]	18	1748745	1760788	1
ENSBTAG00000034495	GTF2F2	general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]	12	15329215	15465651	1
ENSBTAG00000005392	KBTBD3	kelch repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22934]	15	1802549	1889711	1
ENSBTAG00000016471	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]	18	1910952	1951890	-1
ENSBTAG00000013579	SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	27	25391027	25416076	-1
ENSBTAG00000012691	GTF2E2	general transcription factor IIE subunit 2 [Source:HGNC Symbol;Acc:HGNC:4651]	27	25845099	25924961	-1
ENSBTAG00000019831	MRPS11	mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050]	21	19867700	19898710	1
ENSBTAG00000039486		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MHA7]	20	20088695	20200206	1
ENSBTAG00000016158	ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	21	20800158	20868837	1
ENSBTAG00000013371	RUBCNL	RUN and cysteine rich domain containing beclin 1 interacting protein like [Source:HGNC Symbol;Acc:HGNC:20420]	12	16418106	16456993	-1
ENSBTAG00000001483			16	4023323	4101731	1
ENSBTAG00000014248	MIER3	MIER family member 3 [Source:HGNC Symbol;Acc:HGNC:26678]	20	22299385	22323643	1
ENSBTAG00000025669	B3GALT4	beta-1,3-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:919]	23	7394229	7395863	1
ENSBTAG00000019164	RHOBTB1	Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	28	16729036	16802909	-1
ENSBTAG00000012222	FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]	18	2183491	2237316	-1
ENSBTAG00000016878	WDR59	WD repeat domain 59 [Source:HGNC Symbol;Acc:HGNC:25706]	18	2290832	2371007	-1
ENSBTAG00000006729	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	28	18003736	18191994	1
ENSBTAG00000034689	ZNRF1	zinc and ring finger 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18452]	18	2396335	2482363	1
ENSBTAG00000019954	ABHD2	abhydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18717]	21	20998719	21106763	1
ENSBTAG00000033721	RLBP1	retinaldehyde binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10024]	21	21117499	21280811	-1
ENSBTAG00000013943	ZNF703	zinc finger protein 703  [Source:RefSeq peptide;Acc:NP_001178409]	27	32683065	32685824	1
ENSBTAG00000044023	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	4	9792303	10039520	-1
ENSBTAG00000019501	NUDT15	nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]	12	17960583	17967118	1
ENSBTAG00000017458	CALCR	calcitonin receptor  [Source:RefSeq peptide;Acc:NP_001069737]	4	10614458	10724579	-1
ENSBTAG00000008438	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	17	4732242	4868678	-1
ENSBTAG00000017981	ADRB3	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	27	32912525	32915668	-1
ENSBTAG00000038107	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	16	4319154	4365926	1
ENSBTAG00000000978	ASH2L	ASH2 like histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]	27	32989769	33014982	1
ENSBTAG00000004351	IL31RA	interleukin 31 receptor A [Source:HGNC Symbol;Acc:HGNC:18969]	20	23305806	23355111	-1
ENSBTAG00000013245	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	23	7687261	7756803	1
ENSBTAG00000035054	COL9A1	collagen type IX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2217]	9	9517340	9608712	-1
ENSBTAG00000037903			19	77881	78836	-1
ENSBTAG00000003124	HIATL1	Hippocampus abundant transcript-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:A4IF94]	8	30529	228065	1
ENSBTAG00000033603	IP6K3	inositol hexakisphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17269]	23	7758144	7820913	-1
ENSBTAG00000001081	PALLD	palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]	8	571565	923258	1
ENSBTAG00000015550	MLN	motilin [Source:HGNC Symbol;Acc:HGNC:7141]	23	7865124	7872669	-1
ENSBTAG00000019798	PIGR	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]	16	4533505	4551569	-1
ENSBTAG00000018372	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	11	2286338	2305243	-1
ENSBTAG00000006618	HLF	HLF, PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:4977]	19	5696798	5747138	1
ENSBTAG00000019796	FCMR	Fc fragment of IgM receptor [Source:HGNC Symbol;Acc:HGNC:14315]	16	4586507	4606760	1
ENSBTAG00000018546	LRBA	LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]	17	6871712	7542666	1
ENSBTAG00000009292	TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	19	6237391	6239838	-1
ENSBTAG00000024426	PPP1R9A	protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946]	4	12038499	12381524	1
ENSBTAG00000015444	LETM2	leucine zipper and EF-hand containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:14648]	27	33227379	33246108	1
ENSBTAG00000020132	HPF1	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]	8	1507917	1533257	-1
ENSBTAG00000021273	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	21	22014670	22041311	1
ENSBTAG00000015457	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	27	33250534	33291989	-1
ENSBTAG00000008098	DCLK2	doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]	17	7559056	7741485	-1
ENSBTAG00000015694	MON1B	MON1 homolog B, secretory trafficking associated [Source:HGNC Symbol;Acc:HGNC:25020]	18	4445956	4457155	1
ENSBTAG00000002970	INTS6	integrator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14879]	12	20888781	20973823	-1
ENSBTAG00000015654	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	4	12389567	12423459	-1
ENSBTAG00000018146	VAT1L	vesicle amine transport 1 like [Source:HGNC Symbol;Acc:HGNC:29315]	18	5045212	5211278	1
ENSBTAG00000015894	WWOX	WW domain containing oxidoreductase [Source:HGNC Symbol;Acc:HGNC:12799]	18	5283909	6196774	1
ENSBTAG00000012366	MRPS23	mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]	19	8886028	8891010	-1
ENSBTAG00000007147	CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	19	8900990	8974286	-1
ENSBTAG00000044123	HAND2	heart and neural crest derivatives expressed 2 [Source:HGNC Symbol;Acc:HGNC:4808]	8	5747710	5749915	-1
ENSBTAG00000044192	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	18	6551586	6552719	-1
ENSBTAG00000002531	ARHGAP10	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]	17	10182664	10560361	-1
ENSBTAG00000016547	CEP57	centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]	15	14717411	14757469	-1
ENSBTAG00000012925	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	11	2401655	2435800	1
ENSBTAG00000020238	RIMS1	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	9	11681040	11932521	1
ENSBTAG00000033413	DDX50	DEAD-box helicase 50 [Source:HGNC Symbol;Acc:HGNC:17906]	28	25335074	25368153	1
ENSBTAG00000000026	VPS33B	VPS33B, late endosome and lysosome associated [Source:HGNC Symbol;Acc:HGNC:12712]	21	22071936	22097413	1
ENSBTAG00000019532	HTRA4	Serine protease HTR4  [Source:UniProtKB/Swiss-Prot;Acc:E1BJW1]	27	33780037	33795791	1
ENSBTAG00000002965	NEURL3	neuralized E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:25162]	11	2488165	2494781	-1
ENSBTAG00000021458	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]	4	14276357	14281435	1
ENSBTAG00000048020		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G5E6T4]	17	12206073	12250205	1
ENSBTAG00000008053	WDFY2	WD repeat and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20482]	12	21083061	21268125	1
ENSBTAG00000001753		Chloride intracellular channel protein  [Source:UniProtKB/TrEMBL;Acc:E1BAI4]	1	124849	179713	-1
ENSBTAG00000012738	ZNF827	zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]	17	12587397	12739481	1
ENSBTAG00000010353	ATP7B	ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870]	12	21415762	21463534	-1
ENSBTAG00000018645	DLX5	distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]	4	14291967	14296237	-1
ENSBTAG00000023146	ADAM32	disintegrin and metalloproteinase domain-containing protein 32 precursor  [Source:RefSeq peptide;Acc:NP_001039715]	27	33900715	34069888	1
ENSBTAG00000005425	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	8	7478856	7527262	-1
ENSBTAG00000037819	SFT2D2	SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]	3	329276	345806	-1
ENSBTAG00000003726	MTMR9	myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]	8	7831437	7899876	-1
ENSBTAG00000012594	MRPS6	Bos taurus mitochondrial ribosomal protein S6 (MRPS6), mRNA. [Source:RefSeq mRNA;Acc:NM_001040584]	1	669920	733729	-1
ENSBTAG00000020969	DCAF6	DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]	3	587034	768209	-1
ENSBTAG00000009428	GAN	gigaxonin [Source:HGNC Symbol;Acc:HGNC:4137]	18	7982465	8027130	1
ENSBTAG00000013524	CMIP	c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]	18	8210815	8289563	1
ENSBTAG00000002939	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	21	22206517	22213761	-1
ENSBTAG00000034665	PRSS55	protease, serine 55 [Source:HGNC Symbol;Acc:HGNC:30824]	8	8573278	8591243	-1
ENSBTAG00000012380	HK1	hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]	28	25854741	25925054	1
ENSBTAG00000016071	HHIP	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	17	13627444	13736747	-1
ENSBTAG00000007791	KCNQ5	potassium voltage-gated channel subfamily Q member 5 [Source:HGNC Symbol;Acc:HGNC:6299]	9	12697727	12864358	1
ENSBTAG00000014910	PIWIL4	piwi like RNA-mediated gene silencing 4 [Source:HGNC Symbol;Acc:HGNC:18444]	15	16108232	16164098	-1
ENSBTAG00000024549	SNRPC	small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:HGNC:11157]	23	8726525	8737237	-1
ENSBTAG00000001166	HSF5	heat shock transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:26862]	19	9645919	9670385	-1
ENSBTAG00000000799	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	4	17177736	17341262	-1
ENSBTAG00000019134	NEK5	NIMA related kinase 5 [Source:HGNC Symbol;Acc:HGNC:7748]	12	21512688	21561888	-1
ENSBTAG00000016890	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]	23	8838316	9004998	1
ENSBTAG00000020374	THSD1	thrombospondin type 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17754]	12	21669546	21697383	1
ENSBTAG00000019213	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105]	11	2690660	2725964	1
ENSBTAG00000010846	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3 [Source:HGNC Symbol;Acc:HGNC:104]	11	2730998	2762524	1
ENSBTAG00000005730	GPAT4	glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880]	27	36212255	36229009	1
ENSBTAG00000019806	YPEL2	yippee like 2 [Source:HGNC Symbol;Acc:HGNC:18326]	19	10546157	10593841	1
ENSBTAG00000010949	PROSER1	proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	12	23241975	23272130	1
ENSBTAG00000016981	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	20	32606049	32618895	-1
ENSBTAG00000044150	UCK2	uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12562]	3	3045781	3119590	-1
ENSBTAG00000019636	SCARA5	scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]	8	10662268	10796378	1
ENSBTAG00000017852	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	3	3252171	3281221	1
ENSBTAG00000011373	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	17	18144415	18325277	1
ENSBTAG00000010170	MBTPS1	membrane bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:HGNC:15456]	18	10392425	10427784	-1
ENSBTAG00000018770	HSDL1	hydroxysteroid dehydrogenase like 1 [Source:HGNC Symbol;Acc:HGNC:16475]	18	10439489	10451245	-1
ENSBTAG00000018771	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	18	10451369	10472288	1
ENSBTAG00000013801	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	3	4228463	4527283	-1
ENSBTAG00000018772	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	18	10472573	10482376	-1
ENSBTAG00000021920	SEMA4C	semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]	11	2784990	2793644	-1
ENSBTAG00000009188	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	1	1265743	1292028	1
ENSBTAG00000014270	UNC5B	unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568]	28	27511423	27599754	1
ENSBTAG00000046357		equilibrative nucleoside transporter 3  [Source:RefSeq peptide;Acc:NP_001073692]	28	27680680	27685834	-1
ENSBTAG00000010980	ANKMY2	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	4	25057923	25097468	-1
ENSBTAG00000021497			28	27729164	28123449	1
ENSBTAG00000007599	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Source:HGNC Symbol;Acc:HGNC:5960]	27	36813226	36865778	1
ENSBTAG00000006744	TMEM131	transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]	11	3081934	3160004	-1
ENSBTAG00000043993	C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	1	2029406	2048813	1
ENSBTAG00000003063	SYNJ1	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	1	2109219	2196114	1
ENSBTAG00000017187	TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	X	4995337	5043066	1
ENSBTAG00000011833	GRIA3	glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]	X	7180735	7482667	1
ENSBTAG00000003059		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MC22]	1	2204895	2216515	1
ENSBTAG00000005351	RFXAP	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	12	24829486	24838271	-1
ENSBTAG00000004414	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	16	24125199	24137830	-1
ENSBTAG00000019568	IFT74	intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424]	8	17175779	17268677	-1
ENSBTAG00000018575	TRHDE	thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]	5	1907925	2352693	1
ENSBTAG00000014972	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	20	33762479	33774648	-1
ENSBTAG00000038495			12	25362948	25712458	1
ENSBTAG00000006697	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	20	35376524	35514741	1
ENSBTAG00000010877	ARMC12	armadillo repeat containing 12 [Source:HGNC Symbol;Acc:HGNC:21099]	23	9683947	9694015	1
ENSBTAG00000033107	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	20	35521410	35588186	-1
ENSBTAG00000012135	LARP1B	La ribonucleoprotein domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24704]	17	29938416	30073786	-1
ENSBTAG00000003876	MCU	mitochondrial calcium uniporter [Source:HGNC Symbol;Acc:HGNC:23526]	28	28868083	29061027	1
ENSBTAG00000009446	USP10	ubiquitin specific peptidase 10 [Source:HGNC Symbol;Acc:HGNC:12608]	18	10876310	10939661	1
ENSBTAG00000019595	EGFLAM	EGF like, fibronectin type III and laminin G domains [Source:HGNC Symbol;Acc:HGNC:26810]	20	35999051	36178472	-1
ENSBTAG00000021842		Low affinity immunoglobulin gamma Fc region receptor II  [Source:UniProtKB/Swiss-Prot;Acc:Q28110]	3	7928113	7944607	-1
ENSBTAG00000020835	KIAA0513	KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]	18	11172008	11188928	1
ENSBTAG00000008732	ZC3H12C	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:HGNC:29362]	15	20489130	20526349	1
ENSBTAG00000020783	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	23	9944807	10023618	1
ENSBTAG00000013316	BRPF3	bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]	23	10099947	10130409	1
ENSBTAG00000001186	SH2D4A	SH2 domain containing 4A [Source:HGNC Symbol;Acc:HGNC:26102]	27	38028400	38084141	-1
ENSBTAG00000033137	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	27	38483892	38797972	1
ENSBTAG00000004489	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]	19	12752161	12805493	1
ENSBTAG00000011126	STK38	serine/threonine-protein kinase 38  [Source:RefSeq peptide;Acc:NP_001075071]	23	10395680	10436813	-1
ENSBTAG00000016075	EMC8	ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:7864]	18	11788219	11799979	-1
ENSBTAG00000016079	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	18	11799175	11807341	1
ENSBTAG00000007514	CPNE5	copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]	23	10632882	10734550	-1
