Chromosome	Position	Coverage	# methylated	% methylated	# overlap	Gene ID	Distance from target	Gene feature	Associated Gene Name	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	# overlap	Repeats region	Type	# overlap	CpG islands region	Interval shift	Type
1	2206311	39	22	56.4	2	ENSBTAG00000003059	0	intron		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MC22]	1	2204895	2216515	1	1	1:2206270-2206362	SINE	1	1:2204145-2205475	shore	CpG:
1	3049172	30	1	3.3											1	1:3048933-3049185	LINE	1	1:3049220-3050865	shore	CpG:
1	5035995	21	18	85.7	1	ENSBTAG00000039820	0	promoter	CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	1	5035870	5037857	1							
1	5035995	21	18	85.7	2	ENSBTAG00000039820	0	exon	CLDN8	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]	1	5035870	5037857	1							
1	5239521	14	11	78.5											1	1:5238611-5241421	Satellite				
1	5244742	23	0	0											1	1:5244169-5246987	Satellite				
1	5304925	27	22	81.4											1	1:5304653-5307131	Satellite				
1	6537653	34	11	32.3	1	ENSBTAG00000020121	+4266		RWDD2B	RWD domain containing 2B [Source:HGNC Symbol;Acc:HGNC:1302]	1	6521212	6533387	1							
1	10069917	15	0	0	1	ENSBTAG00000000605	0	promoter	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	1	10069680	10076995	1				1	1:10068341-10070212	island	CpG:
1	10069917	15	0	0	2	ENSBTAG00000000605	0	utr5	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	1	10069680	10076995	1				1	1:10068341-10070212	island	CpG:
1	18910161	18	0	0	1	ENSBTAG00000018704	0	promoter	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1	18909512	18928469	1				1	1:18908970-18910781	island	CpG:
1	18910161	18	0	0	2	ENSBTAG00000018704	0	utr5	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	1	18909512	18928469	1				1	1:18908970-18910781	island	CpG:
1	31242576	39	4	10.2														1	1:31242116-31243208	island	CpG:
1	42531053	36	1	2.7	1	ENSBTAG00000004124	0	promoter	CPOX	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	1	42518056	42531538	-1				1	1:42530990-42531673	island	CpG:
1	42531053	36	1	2.7	2	ENSBTAG00000004124	0	exon	CPOX	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	1	42518056	42531538	-1				1	1:42530990-42531673	island	CpG:
1	44514332	20	17	85											1	1:44514282-44515014	LTR				
1	44884687	16	16	100	1	ENSBTAG00000000746	0	intron	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	1	44857815	44928998	1							
1	45082438	23	23	100	1	ENSBTAG00000004538	+3445			zinc finger protein 596  [Source:RefSeq peptide;Acc:NP_001095418]	1	45021274	45078993	1							
1	45103906	12	3	25											1	1:45103809-45104078	SINE				
1	45734119	21	11	52.3	1	ENSBTAG00000026836	0	intron			1	45667461	45822623	-1	1	1:45729734-45735081	Satellite				
1	53809158	44	42	95.4	1	ENSBTAG00000006158	0	intron	DZIP3	DAZ interacting zinc finger protein 3 [Source:HGNC Symbol;Acc:HGNC:30938]	1	53768326	53884123	1							
1	55395083	17	14	82.3											1	1:55387248-55395595	LINE				
1	57177986	45	1	2.2	1	ENSBTAG00000004599	-567		TAGLN3	transgelin 3 [Source:HGNC Symbol;Acc:HGNC:29868]	1	57178554	57192433	1				1	1:57178531-57178881	shore	CpG:
1	57219382	26	8	30.7	1	ENSBTAG00000015065	0	intron	TMPRSS7	transmembrane protease, serine 7 [Source:HGNC Symbol;Acc:HGNC:30846]	1	57213904	57268918	1	1	1:57219063-57222769	Satellite				
1	59433584	25	23	92	1	ENSBTAG00000011928	0	exon	ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	1	59420222	59721760	-1				1	1:59432833-59433966	island	CpG:
1	65545305	23	23	100	1	ENSBTAG00000001464	0	intron	GPR156	G protein-coupled receptor 156 [Source:HGNC Symbol;Acc:HGNC:20844]	1	65541498	65620536	-1	1	1:65544893-65545347	LINE				
1	66212315	16	0	0	1	ENSBTAG00000001918	-1296		STXBP5L	syntaxin binding protein 5 like [Source:HGNC Symbol;Acc:HGNC:30757]	1	66213612	66537723	1				1	1:66212205-66212912	island	CpG:
1	66835307	10	0	0														1	1:66834435-66835308	island	CpG:
1	68012984	29	1	3.4	1	ENSBTAG00000018877	0	promoter	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	1	68012078	68101852	1				1	1:68012000-68012798	shore	CpG:
1	68012984	29	1	3.4	2	ENSBTAG00000018877	0	intron	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	1	68012078	68101852	1				1	1:68012000-68012798	shore	CpG:
1	71765290	21	3	14.2	1	ENSBTAG00000009614	0	promoter	NRROS	Bos taurus leucine rich repeat containing 33 (NRROS), mRNA. [Source:RefSeq mRNA;Acc:NM_001034391]	1	71765081	71791874	1				1	1:71765090-71765298	island	CpG:
1	71765290	21	3	14.2	2	ENSBTAG00000009614	0	utr5	NRROS	Bos taurus leucine rich repeat containing 33 (NRROS), mRNA. [Source:RefSeq mRNA;Acc:NM_001034391]	1	71765081	71791874	1				1	1:71765090-71765298	island	CpG:
1	72585626	16	0	0	1	ENSBTAG00000000448	0	intron	BDH1	3-hydroxybutyrate dehydrogenase, type 1 [Source:HGNC Symbol;Acc:HGNC:1027]	1	72572941	72608810	-1							
1	73515867	36	0	0	1	ENSBTAG00000002394	-148		TMEM44	transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]	1	73516016	73559858	1				1	1:73515558-73516369	island	CpG:
1	73850821	11	9	81.8																	
1	73974903	17	0	0	1	ENSBTAG00000000569	0	promoter	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	1	73973533	73976720	-1	1	1:73974895-73974984	Simple_repeat	1	1:73974887-73976026	island	CpG:
1	73974903	17	0	0	2	ENSBTAG00000000569	0	exon	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	1	73973533	73976720	-1	1	1:73974895-73974984	Simple_repeat	1	1:73974887-73976026	island	CpG:
1	76569283	11	10	90.9	1	ENSBTAG00000006945	0	intron	CCDC50	coiled-coil domain containing 50 [Source:HGNC Symbol;Acc:HGNC:18111]	1	76545414	76624452	-1							
1	77563316	30	14	46.6																	
1	78013684	35	20	57.1	1	ENSBTAG00000015460	0	exon	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	1	78012414	78283420	-1							
1	81252200	11	0	0	1	ENSBTAG00000003151	0	tss			1	81234018	81252216	-1				1	1:81251972-81252710	island	CpG:
1	81252200	11	0	0	2	ENSBTAG00000003151	0	promoter			1	81234018	81252216	-1				1	1:81251972-81252710	island	CpG:
1	81252200	11	0	0	3	ENSBTAG00000003151	0	utr5			1	81234018	81252216	-1				1	1:81251972-81252710	island	CpG:
1	84841624	33	0	0														1	1:84841170-84841956	island	CpG:
1	85922781	27	6	22.2														1	1:85921228-85921443	shore	CpG:
1	88075464	45	0	0	1	ENSBTAG00000005946	+197		USP13	ubiquitin specific peptidase 13 (isopeptidase T-3) [Source:HGNC Symbol;Acc:HGNC:12611]	1	87949654	88075267	-1				1	1:88074743-88075583	island	CpG:
1	88160632	14	0	0	1	ENSBTAG00000002460	0	promoter	ACTL6A	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	1	88129517	88160918	-1				1	1:88160264-88160967	island	CpG:
1	88160632	14	0	0	2	ENSBTAG00000002460	0	intron	ACTL6A	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	1	88129517	88160918	-1				1	1:88160264-88160967	island	CpG:
1	88589731	34	0	0														1	1:88588860-88589556	shore	CpG:
1	95171489	24	14	58.3	1	ENSBTAG00000031802	0	intron	SPATA16	spermatogenesis associated 16 [Source:HGNC Symbol;Acc:HGNC:29935]	1	94965198	95364350	1	1	1:95171477-95172184	LINE	1	1:95170041-95170482	shore	CpG:
1	95794455	14	0	0	1	ENSBTAG00000010874	-1436		GHSR	growth hormone secretagogue receptor [Source:HGNC Symbol;Acc:HGNC:4267]	1	95795892	95799185	1				1	1:95795780-95796653	shore	CpG:
1	96788257	38	0	0	1	ENSBTAG00000011742	-809		TNIK	TRAF2 and NCK interacting kinase [Source:HGNC Symbol;Acc:HGNC:30765]	1	96789067	97194001	1				1	1:96787942-96789434	island	CpG:
1	97308201	39	0	0	1	ENSBTAG00000010550	0	tss	EIF5A2	eukaryotic translation initiation factor 5A2 [Source:HGNC Symbol;Acc:HGNC:3301]	1	97308271	97324962	1				1	1:97308001-97308775	island	CpG:
1	97308201	39	0	0	2	ENSBTAG00000010550	0	promoter	EIF5A2	eukaryotic translation initiation factor 5A2 [Source:HGNC Symbol;Acc:HGNC:3301]	1	97308271	97324962	1				1	1:97308001-97308775	island	CpG:
1	97952158	19	0	0	1	ENSBTAG00000001403	0	tss	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]	1	97883430	97952160	-1	1	1:97952132-97952167	Simple_repeat	1	1:97951786-97952193	island	CpG:
1	97952158	19	0	0	2	ENSBTAG00000001403	0	promoter	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]	1	97883430	97952160	-1	1	1:97952132-97952167	Simple_repeat	1	1:97951786-97952193	island	CpG:
1	97952158	19	0	0	3	ENSBTAG00000001403	0	exon	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]	1	97883430	97952160	-1	1	1:97952132-97952167	Simple_repeat	1	1:97951786-97952193	island	CpG:
1	98396456	48	1	2	1	ENSBTAG00000013141	0	tss	ACTRT3	actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022]	1	98396412	98398345	1				1	1:98396312-98396666	island	CpG:
1	98396456	48	1	2	2	ENSBTAG00000013141	0	promoter	ACTRT3	actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022]	1	98396412	98398345	1				1	1:98396312-98396666	island	CpG:
1	98396456	48	1	2	3	ENSBTAG00000013141	0	utr5	ACTRT3	actin related protein T3 [Source:HGNC Symbol;Acc:HGNC:24022]	1	98396412	98398345	1				1	1:98396312-98396666	island	CpG:
1	104576456	25	6	24											1	1:104576414-104577120	LINE				
1	106851500	18	4	22.2														1	1:106850409-106851141	shore	CpG:
1	107773529	22	0	0	1	ENSBTAG00000017416	-823		KPNA4	karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]	1	107774353	107834443	1				1	1:107773471-107774910	island	CpG:
1	107774045	26	0	0	1	ENSBTAG00000017416	-307		KPNA4	karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397]	1	107774353	107834443	1				1	1:107773471-107774910	island	CpG:
1	108087010	24	0	0	1	ENSBTAG00000047247	+330		C3orf80	chromosome 3 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:40048]	1	108086075	108086680	-1				1	1:108085807-108087222	island	CpG:
1	114144864	26	0	0	1	ENSBTAG00000006147	0	promoter	GPR149	G protein-coupled receptor 149 [Source:HGNC Symbol;Acc:HGNC:23627]	1	114144239	114229402	1				1	1:114144678-114145206	island	CpG:
1	114144864	26	0	0	2	ENSBTAG00000006147	0	exon	GPR149	G protein-coupled receptor 149 [Source:HGNC Symbol;Acc:HGNC:23627]	1	114144239	114229402	1				1	1:114144678-114145206	island	CpG:
1	118300602	33	0	0	1	ENSBTAG00000023445	-195		SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	1	118300798	118318258	1				1	1:118299954-118301538	island	CpG:
1	120199091	23	22	95.6																	
1	120486544	12	7	58.3											1	1:120486403-120486595	SINE				
1	121872351	39	16	41	1	ENSBTAG00000014749	-1781		ZIC4	Zic family member 4 [Source:HGNC Symbol;Acc:HGNC:20393]	1	121874133	121886919	1				1	1:121872121-121872438	island	CpG:
1	121923042	11	3	27.2														1	1:121919626-121920016	shelves	CpG:
1	123242348	33	28	84.8	1	ENSBTAG00000011986	0	utr5	PLSCR4	phospholipid scramblase 4 [Source:HGNC Symbol;Acc:HGNC:16497]	1	123231176	123273104	1	1	1:123242277-123243571	LTR				
1	127469345	21	0	0														1	1:127469166-127469737	island	CpG:
1	128184598	30	19	63.3	1	ENSBTAG00000021886	0	promoter	GRK7	G protein-coupled receptor kinase 7 [Source:HGNC Symbol;Acc:HGNC:17031]	1	128144744	128185018	-1				1	1:128184590-128185128	island	CpG:
1	128184598	30	19	63.3	2	ENSBTAG00000021886	0	exon	GRK7	G protein-coupled receptor kinase 7 [Source:HGNC Symbol;Acc:HGNC:17031]	1	128144744	128185018	-1				1	1:128184590-128185128	island	CpG:
1	128407515	10	10	100	1	ENSBTAG00000015413	0	intron	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1	128345232	128468029	-1							
1	128468018	27	1	3.7	1	ENSBTAG00000015413	0	tss	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1	128345232	128468029	-1				1	1:128467205-128468260	island	CpG:
1	128468018	27	1	3.7	2	ENSBTAG00000015413	0	promoter	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1	128345232	128468029	-1				1	1:128467205-128468260	island	CpG:
1	128468018	27	1	3.7	3	ENSBTAG00000015413	0	exon	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1	128345232	128468029	-1				1	1:128467205-128468260	island	CpG:
1	130108786	45	2	4.4														1	1:130107416-130109196	island	CpG:
1	131239229	20	1	5	1	ENSBTAG00000031277	-3214		FOXL2	forkhead box L2 [Source:HGNC Symbol;Acc:HGNC:1092]	1	131242444	131243577	1				1	1:131238988-131239607	island	CpG:
1	131244692	12	6	50	1	ENSBTAG00000031277	+1115		FOXL2	forkhead box L2 [Source:HGNC Symbol;Acc:HGNC:1092]	1	131242444	131243577	1				1	1:131241299-131244238	shore	CpG:
1	131564388	49	1	2	1	ENSBTAG00000023426	0	promoter	FAIM	Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]	1	131548459	131564836	-1				1	1:131564314-131565007	island	CpG:
1	131564388	49	1	2	2	ENSBTAG00000023426	0	utr5	FAIM	Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]	1	131548459	131564836	-1				1	1:131564314-131565007	island	CpG:
1	131779836	17	17	100	1	ENSBTAG00000001497	0	intron	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	1	131765943	131834001	-1	1	1:131779507-131779849	LINE				
1	135855816	24	12	50											1	1:135855756-135855937	SINE				
1	136767171	12	10	83.3	1	ENSBTAG00000023411	0	intron		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BI82]	1	136747035	136790649	-1							
1	138513580	11	9	81.8	1	ENSBTAG00000012798	0	intron	KCNH8	potassium voltage-gated channel subfamily H member 8 [Source:HGNC Symbol;Acc:HGNC:18864]	1	138455304	138676649	1							
1	138815402	11	5	45.4											1	1:138815141-138815505	LTR	1	1:138814072-138814783	shore	CpG:
1	143172331	33	0	0	1	ENSBTAG00000030913	-3751		Mx1	Interferon-induced GTP-binding protein Mx1 Interferon-induced GTP-binding protein Mx1, N-terminally processed [Source:UniProtKB/Swiss-Prot;Acc:P79135]	1	143176083	143204865	1	1	1:143172266-143172416	DNA	1	1:143172455-143172778	shore	CpG:
1	143172331	33	0	0	1	ENSBTAG00000030913	-3751		Mx1	Interferon-induced GTP-binding protein Mx1 Interferon-induced GTP-binding protein Mx1, N-terminally processed [Source:UniProtKB/Swiss-Prot;Acc:P79135]	1	143176083	143204865	1	1	1:143172266-143172416	DNA	2	1:143173275-143173636	shore	CpG:
1	143256703	50	1	2														1	1:143255095-143256823	island	CpG:
1	143576941	37	37	100	1	ENSBTAG00000021253	0	intron	PRDM15	PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999]	1	143569076	143621182	-1				1	1:143576832-143577204	island	CpG:
1	143601553	35	34	97.1	1	ENSBTAG00000021253	0	intron	PRDM15	PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999]	1	143569076	143621182	-1				1	1:143597533-143598190	shelves	CpG:
1	143633214	32	2	6.2														1	1:143633625-143634067	shore	CpG:
1	143789950	10	8	80																	
1	144089388	11	6	54.5											1	1:144088109-144089703	Satellite				
1	144097677	14	8	57.1											1	1:144095986-144097941	Satellite				
1	144113446	10	6	60											1	1:144113268-144114785	Satellite				
1	144131360	33	20	60.6											1	1:144131135-144132420	Satellite				
1	144845436	29	0	0	1	ENSBTAG00000011645	0	tss			1	144832445	144845410	-1	1	1:144845378-144845437	Simple_repeat	1	1:144844943-144846216	island	CpG:
1	144845436	29	0	0	2	ENSBTAG00000011645	0	promoter			1	144832445	144845410	-1	1	1:144845378-144845437	Simple_repeat	1	1:144844943-144846216	island	CpG:
1	145028821	19	0	0	1	ENSBTAG00000017321	-2967		SUMO3	small ubiquitin-like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	1	145031789	145041320	-1				1	1:145028301-145029471	island	CpG:
1	145229639	18	6	33.3																	
1	145628620	27	15	55.5																	
1	145687388	17	14	82.3	1	ENSBTAG00000014880	-1044			Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BCU8]	1	145688433	145695944	-1							
1	145796026	42	41	97.6	1	ENSBTAG00000010658	0	exon	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	1	145770058	145797205	1				1	1:145792723-145793001	shelves	CpG:
1	145830719	14	10	71.4	1	ENSBTAG00000021901	0	promoter	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	1	145830610	145871792	1							
1	145830719	14	10	71.4	2	ENSBTAG00000021901	0	exon	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	1	145830610	145871792	1							
1	145855240	39	32	82	1	ENSBTAG00000021901	0	intron	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	1	145830610	145871792	1				1	1:145855169-145855477	island	CpG:
1	146145030	50	17	34											1	1:146144902-146145081	LTR				
1	146650468	24	0	0											1	1:146650426-146650489	Simple_repeat	1	1:146649615-146651058	island	CpG:
1	146862534	16	15	93.7	1	ENSBTAG00000007106	0	intron		Es1 protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q3T0U3]	1	146859201	146867963	1				1	1:146862533-146862976	island	CpG:
1	147003460	25	15	60	1	ENSBTAG00000023907	0	intron	COL18A1	collagen alpha-1(XVIII) chain precursor  [Source:RefSeq peptide;Acc:NP_001076857]	1	146989244	147040968	1				1	1:147002453-147003177	shore	CpG:
1	147300360	15	2	13.3	1	ENSBTAG00000030775	0	utr5	PCBP3	poly(rC) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:8651]	1	147132679	147359843	1							
1	147413644	12	0	0	1	ENSBTAG00000011802	0	intron	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1	147404396	147423644	1				1	1:147412055-147412272	shore	CpG:
1	148773593	53	0	0	1	ENSBTAG00000004742	0	promoter	RUNX1	runt related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	1	148678710	148773773	-1				1	1:148773136-148777954	island	CpG:
1	148773593	53	0	0	2	ENSBTAG00000004742	0	exon	RUNX1	runt related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	1	148678710	148773773	-1				1	1:148773136-148777954	island	CpG:
1	150244316	12	8	66.6	1	ENSBTAG00000014306	0	intron	DOPEY2	dopey family member 2 [Source:HGNC Symbol;Acc:HGNC:1291]	1	150169936	150293609	1							
1	150307837	17	0	0	1	ENSBTAG00000011876	0	promoter	MORC3	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]	1	150307555	150349311	1	1	1:150307704-150307844	Simple_repeat	1	1:150307333-150308134	island	CpG:
1	150307837	17	0	0	2	ENSBTAG00000011876	0	intron	MORC3	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]	1	150307555	150349311	1	1	1:150307704-150307844	Simple_repeat	1	1:150307333-150308134	island	CpG:
1	150575245	25	19	76																	
1	150690959	47	0	0	1	ENSBTAG00000021447	-5190		SIM2	single-minded family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883]	1	150696150	150728567	1				1	1:150689981-150690999	island	CpG:
1	152695442	32	1	3.1														1	1:152694190-152695692	island	CpG:
1	153213817	380	299	78.6											1	1:153213264-153214920	Satellite				
1	153216714	12	9	75											1	1:153215689-153217037	Satellite				
1	154024500	35	35	100	1	ENSBTAG00000023377	0	tts	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	1	154024457	154103515	-1				1	1:154024416-154024633	island	CpG:
1	154024500	35	35	100	2	ENSBTAG00000023377	0	exon	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	1	154024457	154103515	-1				1	1:154024416-154024633	island	CpG:
1	154037270	26	25	96.1	1	ENSBTAG00000023377	0	intron	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	1	154024457	154103515	-1				1	1:154037303-154037964	shore	CpG:
1	154064748	35	35	100	1	ENSBTAG00000023377	0	intron	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	1	154024457	154103515	-1							
1	154073997	31	29	93.5	1	ENSBTAG00000023377	0	intron	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	1	154024457	154103515	-1	1	1:154073968-154074160	DNA				
1	154803225	10	6	60														1	1:154802535-154803191	shore	CpG:
1	155117764	18	18	100	1	ENSBTAG00000004891	0	intron	OXNAD1	oxidoreductase NAD binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25128]	1	155017757	155158936	1				1	1:155114032-155114581	shelves	CpG:
1	155833681	38	27	71	1	ENSBTAG00000030581	-123		TBC1D5	TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]	1	155833805	156185921	-1				1	1:155833580-155834504	island	CpG:
1	155904598	11	11	100	1	ENSBTAG00000030581	0	intron	TBC1D5	TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]	1	155833805	156185921	-1				1	1:155904458-155904716	island	CpG:
1	156525145	19	18	94.7																	
1	157268367	32	1	3.1	1	ENSBTAG00000021158	+6612		SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	1	157169740	157261755	-1				1	1:157267939-157268580	island	CpG:
1	157466110	14	11	78.5																	
1	158078884	21	1	4.7														1	1:158078599-158080037	island	CpG:
1	158079022	20	1	5														1	1:158078599-158080037	island	CpG:
10	839453	20	15	75	1	ENSBTAG00000035858	0	intron	MCC	mutated in colorectal cancers [Source:HGNC Symbol;Acc:HGNC:6935]	10	610854	933224	1							
10	895351	31	23	74.1	1	ENSBTAG00000035858	0	intron	MCC	mutated in colorectal cancers [Source:HGNC Symbol;Acc:HGNC:6935]	10	610854	933224	1							
10	2362225	26	0	0	1	ENSBTAG00000014099	0	promoter	YTHDC2	YTH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24721]	10	2361696	2434171	1				1	10:2361553-2362279	island	CpG:
10	2362225	26	0	0	2	ENSBTAG00000014099	0	intron	YTHDC2	YTH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24721]	10	2361696	2434171	1				1	10:2361553-2362279	island	CpG:
10	3206375	28	0	0	1	ENSBTAG00000011076	-191		KCNN2	potassium calcium-activated channel subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:6291]	10	3206567	3373648	1				1	10:3204910-3206811	island	CpG:
10	3902345	23	22	95.6											1	10:3902314-3903099	LINE				
10	4418226	27	0	0	1	ENSBTAG00000035030	0	promoter	TMED7	transmembrane p24 trafficking protein 7 [Source:HGNC Symbol;Acc:HGNC:24253]	10	4409118	4418520	-1				1	10:4418064-4418917	island	CpG:
10	4418226	27	0	0	2	ENSBTAG00000035030	0	exon	TMED7	transmembrane p24 trafficking protein 7 [Source:HGNC Symbol;Acc:HGNC:24253]	10	4409118	4418520	-1				1	10:4418064-4418917	island	CpG:
10	4608313	12	0	0	1	ENSBTAG00000048058	0	promoter		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3MYP2]	10	4608189	4608558	1				1	10:4607777-4609162	island	CpG:
10	4608313	12	0	0	2	ENSBTAG00000048058	0	utr5		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3MYP2]	10	4608189	4608558	1				1	10:4607777-4609162	island	CpG:
10	5048282	34	0	0														1	10:5047757-5048423	island	CpG:
