chr	strand	tss
7	+	20078215
7	-	21632426
7	-	21864221
7	+	24797914
7	-	22045178
7	+	6843583
7	+	11286338
7	-	33820076
7	+	23199976
7	-	33588362
7	+	16274218
7	+	21842379
7	+	30116396
7	-	13177126
7	-	12531798
7	+	11289804
7	+	26048687
7	+	5728256
7	-	15775865
7	-	18810483
7	+	6066700
7	+	21851756
7	+	25702714
7	-	12074158
7	-	1252487
7	-	15780635
7	+	24770052
7	+	16190979
7	+	23245928
7	-	31356523
7	-	12074740
7	+	23875684
7	+	13572929
7	+	11288713
7	-	5370944
7	+	21364816
7	-	1318731
7	+	15758919
7	-	18453017
7	+	5821835
7	-	35757688
7	-	6597727
7	-	9710478
7	+	11281691
