					methylKit		methylSig	
1	111362640	*	 	 	84.8677248677249	hypermeth		
1	111362675	*	 	 	81.1640211640212	hypermeth		
1	111377797	*	 	 	-33.3333333333333	hypometh		
1	111377800	*	 	 	-42.8571428571429	hypometh		
1	111630197	*	 	 	94.3561208267091	hypermeth		
1	111630200	*	 	 	97.2972972972973	hypermeth		
1	111630218	*	 	 	91.6534181240064	hypermeth		
1	111630225	*	 	 	94.5945945945946	hypermeth		
1	111630232	*	 	 	82.5914149443561	hypermeth		
1	111630246	*	 	 	50.2384737678855	hypermeth		
1	111630257	*	 	 	57.5757575757576	hypermeth		
1	111630316	*	 	 	79.7478991596639	hypermeth		
1	111630797	*	 	 	79.3859649122807	hypermeth		
1	111630811	*	 	 	85.672514619883	hypermeth		
1	111630838	*	 	 	72.0760233918129	hypermeth		
1	111630857	*	 	 	83.9181286549708	hypermeth		
1	111630867	*	 	 	82.1220930232558	hypermeth		
1	111630879	*	 	 	66.1518661518662	hypermeth		
1	111630887	*	 	 	79.021879021879	hypermeth		
1	111630894	*	 	 	70.5339485827291	hypermeth		
1	111630910	*	 	 	81.0810810810811	hypermeth		
1	111630948	*	 	 	67.5	hypermeth		
1	111630954	*	 	 	69.7831978319783	hypermeth		
1	111630993	*	 	 	57.7220077220077	hypermeth		
1	111636955	*	 	 	-28.125	hypometh		
1	111643699	*	 	 	-26.1859582542695	hypometh		
1	111645213	*	 	 	-27.8125	hypometh		
1	111645274	*	 	 	-32.0683111954459	hypometh		
1	111935838	*	 	 	41.1904761904762	hypermeth		
1	112031525	*	 	 	85.1258581235698	hypermeth		
1	112031577	*	 	 	77.1929824561404	hypermeth		
1	112031610	*	 	 	78	hypermeth		
1	112031617	 	 	*	97.9166666666667	hypermeth	97.9170481363932	hypermeth
1	112031681	*	 	 	64.5833333333333	hypermeth		
1	112031708	*	 	 	85.1063829787234	hypermeth		
1	112031718	*	 	 	77.5	hypermeth		
1	112031741	*	 	 	74.5833333333333	hypermeth		
1	112031774	*	 	 	73.0833333333333	hypermeth		
1	112031780	*	 	 	93.75	hypermeth		
1	112031788	*	 	 	77.4166666666667	hypermeth		
1	112031816	*	 	 	91.6666666666667	hypermeth		
1	112031823	*	 	 	85.75	hypermeth		
1	112031838	*	 	 	54.1666666666667	hypermeth		
1	112031844	*	 	 	83.3333333333333	hypermeth		
1	112476477	*	 	 	35.184807024709	hypermeth		
1	112476481	*	 	 	28.8544006534613	hypermeth		
1	112476526	*	 	 	69.0831121094548	hypermeth		
1	112476533	*	 	 	68.858484786604	hypermeth		
1	112476658	*	 	 	49.0526315789474	hypermeth		
1	112476670	*	 	 	55.6372549019608	hypermeth		
1	11269866	*	 	 	38.5294117647059	hypermeth		
1	11269967	*	 	 	48.2148083113843	hypermeth		
1	11269994	*	 	 	49.4271633384537	hypermeth		
1	11270009	 	 	*	59.6642555989634	hypermeth	59.662184657706	hypermeth
1	11270031	*	 	 	34.3548387096774	hypermeth		
1	11270036	*	 	 	37.5870967741936	hypermeth		
1	11270068	*	 	 	57.5432163436354	hypermeth		
1	11270299	 	 	*	63.6675385062482	hypermeth	63.6681977073299	hypermeth
1	11270316	 	 	*	65.3777594954066	hypermeth	65.3776690134941	hypermeth
1	11270331	 	 	*	68.078431372549	hypermeth	68.0657710513804	hypermeth
1	11270368	 	 	*	61.82947820141	hypermeth	61.2128954790793	hypermeth
1	11270480	 	 	*	57.8821944482181	hypermeth	57.8825037343847	hypermeth
1	11270514	 	 	*	57.309076736135	hypermeth	57.3060608338577	hypermeth
1	11270527	 	 	*	47.0143765011434	hypermeth	47.0129371132511	hypermeth
1	11270530	 	 	*	48.5692840646651	hypermeth	48.5672877778514	hypermeth
1	11270534	 	 	*	51.7280701249187	hypermeth	51.7280707448566	hypermeth
1	11270553	*	 	 	38.0199119595178	hypermeth		
1	11271093	 	 	*	74.9027566379165	hypermeth	74.905497241824	hypermeth
1	11271111	*	 	 	81.6583511522927	hypermeth		
1	11272526	*	 	 	75.3119429590018	hypermeth		
1	11272543	*	 	 	73.7373737373737	hypermeth		
1	11272574	*	 	 	62.1976647206005	hypermeth		
1	11272865	 	 	*	49.5758580343214	hypermeth	49.576970721796	hypermeth
1	11272869	 	 	*	48.2287646769029	hypermeth	48.226317883943	hypermeth
1	11272872	 	 	*	48.8265151631793	hypermeth	48.8290648250967	hypermeth
1	11272885	 	 	*	55.5509868421053	hypermeth	55.3943365004534	hypermeth
1	11272919	 	 	*	49.2646558715044	hypermeth	49.2644381911245	hypermeth
1	11273031	 	 	*	54.0660709753758	hypermeth	54.2306114072469	hypermeth
1	11273068	 	 	*	58.6140724946695	hypermeth	58.6376004996999	hypermeth
1	11273083	 	 	*	59.9461240715556	hypermeth	59.9462245941457	hypermeth
1	11273100	 	 	*	55.1842684268427	hypermeth	55.18402557561	hypermeth
1	11273260	*	 	 	50.4728132387707	hypermeth		
1	11273293	*	 	 	67.8127589063795	hypermeth		
1	11273679	 	 	*	53.2588186765665	hypermeth	53.2587991961237	hypermeth
1	11273685	 	 	*	49.9095278037149	hypermeth	49.9117948187221	hypermeth
1	11273716	 	 	*	60.3982359240561	hypermeth	59.5281494253301	hypermeth
1	11273738	 	 	*	62.38783294032	hypermeth	62.3862256223479	hypermeth
1	11273742	 	 	*	62.6617528886918	hypermeth	62.6614589401718	hypermeth
1	11273758	 	 	*	52.1002029935979	hypermeth	52.1002967738718	hypermeth
1	11273768	 	 	*	48.4619035779671	hypermeth	48.4622267888838	hypermeth
1	11273784	 	 	*	56.2494863998685	hypermeth	56.2487604494621	hypermeth
1	11273905	 	 	*	68.0188679245283	hypermeth	68.0225674289463	hypermeth
1	11273937	 	 	*	55.9403559403559	hypermeth	55.9400905363884	hypermeth
1	11273942	 	 	*	56.3216966435349	hypermeth	56.3246845169972	hypermeth
1	11273964	 	 	*	58.4869596284387	hypermeth	58.4885094106484	hypermeth
1	11273979	 	 	*	71.8789443488239	hypermeth	71.8788273829678	hypermeth
1	11274006	 	 	*	56.7949110453448	hypermeth	56.793869454516	hypermeth
1	11274031	*	 	 	51.8026565464896	hypermeth		
1	11274125	 	 	*	55.318158543965	hypermeth	55.3204459114197	hypermeth
1	11274129	 	 	*	47.7355698758193	hypermeth	47.7338060379752	hypermeth
1	11274132	 	 	*	50.9495295124038	hypermeth	50.9495015832015	hypermeth
1	11274145	 	 	*	63.2706099429049	hypermeth	63.2742004087145	hypermeth
1	11274179	 	 	*	59.7991324172966	hypermeth	59.7985306539782	hypermeth
1	11274291	 	 	*	61.845288326301	hypermeth	61.8456871664818	hypermeth
1	11274328	 	 	*	66.6365824308063	hypermeth	66.6349935031164	hypermeth
1	11274343	 	 	*	68.0469093881658	hypermeth	68.0675391715833	hypermeth
1	11274364	 	 	*	41.8148022980737	hypermeth	42.0895850067821	hypermeth
1	11274370	 	 	*	39.8354046302839	hypermeth	39.8466540422557	hypermeth
1	11274401	 	 	*	47.8453944159366	hypermeth	47.7087848155553	hypermeth
1	11274423	 	 	*	60.9736147999743	hypermeth	60.9214266723136	hypermeth
1	11274427	 	 	*	64.5131422308724	hypermeth	64.5155310459722	hypermeth
1	11274443	 	 	*	67.4443266171792	hypermeth	67.4444982325288	hypermeth
1	11274453	 	 	*	61.5524139770605	hypermeth	61.5517004699675	hypermeth
1	11274469	 	 	*	64.0052700922266	hypermeth	64.0061173236754	hypermeth
1	11274520	*	 	 	54.7178571428571	hypermeth		
1	11274523	 	 	*	78.6327722432154	hypermeth	78.6354275865784	hypermeth
1	11274545	*	 	 	44.4297082228117	hypermeth		
1	11274552	*	 	 	54.2857142857143	hypermeth		
1	11274590	*	 	 	55.968992248062	hypermeth		
1	11274622	 	 	*	49.052157891007	hypermeth	49.0532518129686	hypermeth
1	11274627	 	 	*	54.0595724777491	hypermeth	54.0615778467387	hypermeth
1	11274649	 	 	*	59.4514297840734	hypermeth	59.4490225806611	hypermeth
1	11274664	 	 	*	60.5663408141723	hypermeth	60.5687110324207	hypermeth
1	11274691	 	 	*	63.3212709620477	hypermeth	63.3200929838767	hypermeth
1	11274716	 	 	*	53.6954060174701	hypermeth	54.6526650838538	hypermeth
1	114430486	*	 	 	26.1904761904762	hypermeth		
1	114430499	*	 	 	53.9728682170543	hypermeth		
1	114430506	*	 	 	36.3636363636364	hypermeth		
1	114430521	*	 	 	57.0075757575758	hypermeth		
1	114430533	*	 	 	29.7348484848485	hypermeth		
1	114718597	*	 	 	86.135593220339	hypermeth		
1	114718626	*	 	 	77.3559322033898	hypermeth		
1	114718668	 	 	*	88.6101694915254	hypermeth	88.6064005567863	hypermeth
1	114718684	*	 	 	77.8867102396514	hypermeth		
1	115567432	*	 	 	93.75	hypermeth		
1	115567435	*	 	 	94.7010869565217	hypermeth		
1	115567447	*	 	 	94.7010869565217	hypermeth		
1	115567456	*	 	 	93.75	hypermeth		
1	115567469	*	 	 	96.875	hypermeth		
1	116105842	 	 	*	79.0340909090909	hypermeth	79.0331986536996	hypermeth
1	116105894	 	 	*	72.8122067643099	hypermeth	72.810600646287	hypermeth
1	116105901	 	 	*	68.1306028456288	hypermeth	68.1286948197565	hypermeth
1	116105993	*	 	 	40.4419342870099	hypermeth		
1	116106005	 	 	*	66.908412764194	hypermeth	66.910844694552	hypermeth
1	116106022	 	 	*	61.9146290924161	hypermeth	61.99297305196	hypermeth
1	116106421	*	 	 	81.6316316316316	hypermeth		
1	116106451	*	 	 	65.8434296365331	hypermeth		
1	116106660	*	 	 	71.7124735729387	hypermeth		
1	116106685	*	 	 	62.7061310782241	hypermeth		
1	116106696	*	 	 	68.1606765327696	hypermeth		
1	116106941	*	 	 	36.4672364672365	hypermeth		
1	116106945	*	 	 	39.04616316956	hypermeth		
1	116106953	 	 	*	72.0294343418301	hypermeth	72.0307268795708	hypermeth
1	116106983	 	 	*	61.8538725462624	hypermeth	61.852922573407	hypermeth
1	116107035	*	 	 	44.4642857142857	hypermeth		
1	116107847	*	 	 	74.1496598639456	hypermeth		
1	116107984	*	 	 	44.2508710801394	hypermeth		
1	116108010	*	 	 	32.3300467047224	hypermeth		
1	116108054	*	 	 	69.0656565656566	hypermeth		
1	116108079	*	 	 	59.3434343434343	hypermeth		
1	116108090	*	 	 	72.0959595959596	hypermeth		
1	116108101	 	 	*	41.6259393818743	hypermeth	41.6260924192565	hypermeth
1	116108114	 	 	*	62.1968810916179	hypermeth	62.1967910333921	hypermeth
1	116108121	 	 	*	69.5867446393762	hypermeth	69.5875028674354	hypermeth
1	116108151	 	 	*	75.7598416702008	hypermeth	75.5659438105032	hypermeth
1	116108162	 	 	*	69.7053579221686	hypermeth	69.5582542157125	hypermeth
1	116108179	 	 	*	67.3071968530656	hypermeth	67.3072152810531	hypermeth
1	116108208	 	 	*	72.8232017753797	hypermeth	72.7848710323537	hypermeth
1	116220092	*	 	 	-42.5	hypometh		
1	116585942	*	 	 	70.4500199123855	hypermeth		
1	116585972	 	 	*	72.7164036346246	hypermeth	72.7164908305413	hypermeth
1	116586179	 	 	*	63.5338345864662	hypermeth	63.5343870898877	hypermeth
1	116586204	*	 	 	59.6992481203008	hypermeth		
1	116586215	 	 	*	72.8042328042328	hypermeth	72.7113675640733	hypermeth
1	117057267	*	 	 	52.9166666666667	hypermeth		
1	117253875	 	 	*	100	hypermeth	100.0	hypermeth
1	117253892	*	 	 	96.1538461538462	hypermeth		
1	117253917	 	 	*	100	hypermeth	100.0	hypermeth
1	117253928	*	 	 	84.8901098901099	hypermeth		
1	117253936	*	 	 	96.1538461538462	hypermeth		
1	117561232	*	 	 	-80.4761904761905	hypometh		
1	117579615	*	 	 	-38.4615384615385	hypometh		
1	117828741	*	 	 	28.2692307692308	hypermeth		
1	117865056	*	 	 	-70.4647676161919	hypometh		
1	118655547	*	 	 	-48.4848484848485	hypometh		
1	118805181	*	 	 	61.7275747508306	hypermeth		
1	118805231	*	 	 	45.3156146179402	hypermeth		
1	118805254	*	 	 	61.1960132890365	hypermeth		
1	119153436	*	 	 	69.2857142857143	hypermeth		
1	119153471	*	 	 	53.8461538461538	hypermeth		
1	119153507	*	 	 	77.7648766328012	hypermeth		
1	119153513	*	 	 	57.4165457184325	hypermeth		
1	119153536	*	 	 	59.3333333333333	hypermeth		
1	119307870	 	 	*	-100	hypometh	-100.0	hypometh
1	119307881	 	 	*	-97.5609756097561	hypometh	-97.5614192284836	hypometh
1	119307892	 	 	*	-95.6378986866792	hypometh	-95.6384236728686	hypometh
1	119307900	*	 	 	-85.5065666041276	hypometh		
1	119307910	 	 	*	-94.2307692307692	hypometh	-94.2309447878717	hypometh
1	119307925	*	 	 	-94.2307692307692	hypometh		
1	119307938	*	 	 	-25.375234521576	hypometh		
1	119391583	*	 	 	32	hypermeth		
1	119438269	*	 	 	29.6296296296296	hypermeth		
1	119438291	*	 	 	46.1375661375661	hypermeth		
1	119438305	*	 	 	29.6296296296296	hypermeth		
1	119438308	*	 	 	25.9259259259259	hypermeth		
1	119438314	*	 	 	26.8518518518519	hypermeth		
1	119438317	*	 	 	25.9259259259259	hypermeth		
1	119438325	*	 	 	29.6296296296296	hypermeth		
1	119438630	*	 	 	90.1219512195122	hypermeth		
1	119438657	*	 	 	70.7317073170732	hypermeth		
1	119438715	*	 	 	80.4878048780488	hypermeth		
1	120013154	*	 	 	82.6086956521739	hypermeth		
1	120013182	*	 	 	90.9295352323838	hypermeth		
1	120013191	*	 	 	97.8260869565217	hypermeth		
1	120013263	*	 	 	91.1111111111111	hypermeth		
1	120013269	*	 	 	91.1111111111111	hypermeth		
1	120013279	*	 	 	89.1304347826087	hypermeth		
1	120013299	*	 	 	82.6086956521739	hypermeth		
1	120013329	*	 	 	27.5	hypermeth		
1	120403548	*	 	 	-35.2941176470588	hypometh		
1	120895441	*	 	 	38.6856368563686	hypermeth		
1	120895466	*	 	 	62.7371273712737	hypermeth		
1	120895501	*	 	 	31.3888888888889	hypermeth		
1	120895552	*	 	 	37.6984126984127	hypermeth		
1	121344508	*	 	 	-44.1860465116279	hypometh		
1	121478662	*	 	 	-27.6595744680851	hypometh		
1	121478668	*	 	 	-30.1907556859868	hypometh		
1	121855521	*	 	 	72.0238095238095	hypermeth		
1	121855552	*	 	 	26.1904761904762	hypermeth		
1	121855584	*	 	 	35.7142857142857	hypermeth		
1	121855675	*	 	 	61.1111111111111	hypermeth		
1	121855785	*	 	 	49.2673992673993	hypermeth		
1	121867660	*	 	 	27.4122807017544	hypermeth		
1	121868678	*	 	 	35.8974358974359	hypermeth		
1	121868685	*	 	 	30.7692307692308	hypermeth		
1	121872376	*	 	 	40	hypermeth		
1	121879665	*	 	 	25.8064516129032	hypermeth		
1	121879792	*	 	 	29.0322580645161	hypermeth		
1	121881412	*	 	 	30.6122448979592	hypermeth		
1	121884223	*	 	 	34.7826086956522	hypermeth		
1	121884244	*	 	 	26.2257169287697	hypermeth		
1	121885504	*	 	 	30	hypermeth		
1	121885632	*	 	 	25.5813953488372	hypermeth		
1	121885689	*	 	 	41.8604651162791	hypermeth		
1	121893067	*	 	 	40.625	hypermeth		
1	121893099	*	 	 	33.3333333333333	hypermeth		
1	121893277	*	 	 	32.258064516129	hypermeth		
1	121893512	*	 	 	27.3684210526316	hypermeth		
1	121893643	*	 	 	25.632798573975	hypermeth		
1	121893670	*	 	 	51.6806722689076	hypermeth		
1	121894584	 	 	*	-90.7224958949097	hypometh	-90.7229242848673	hypometh
1	121894621	*	 	 	-75.7818765036087	hypometh		
1	121894625	 	 	*	-90.7778668805132	hypometh	-90.777547556587	hypometh
1	121897861	*	 	 	47.6540187678499	hypermeth		
1	121897994	*	 	 	50	hypermeth		
1	121898037	*	 	 	25.518341307815	hypermeth		
1	121898056	*	 	 	30	hypermeth		
1	121905469	*	 	 	-71.7987804878049	hypometh		
1	121905503	*	 	 	-78.2456140350877	hypometh		
1	121905512	*	 	 	-69.8245614035088	hypometh		
1	121905515	*	 	 	-47.3333333333333	hypometh		
1	121905550	*	 	 	-88.6363636363636	hypometh		
1	121908361	*	 	 	34.6153846153846	hypermeth		
1	121908385	*	 	 	46.1538461538462	hypermeth		
1	121908390	*	 	 	55.7692307692308	hypermeth		
1	122494645	*	 	 	33.5978835978836	hypermeth		
1	123618714	*	 	 	74.468085106383	hypermeth		
1	123618723	*	 	 	64.6572104018912	hypermeth		
1	123618734	*	 	 	78.7234042553192	hypermeth		
1	123618750	*	 	 	76.5957446808511	hypermeth		
1	123618770	*	 	 	72.3404255319149	hypermeth		
1	124348019	*	 	 	32.7741935483871	hypermeth		
1	124348032	*	 	 	28.7741935483871	hypermeth		
1	124828034	*	 	 	-37.5	hypometh		
1	124938688	*	 	 	67.6163142789436	hypermeth		
1	124938699	*	 	 	59.3816517667092	hypermeth		
1	124938724	 	 	*	72.6824034334764	hypermeth	72.6776113209897	hypermeth
1	124938933	 	 	*	63.3520176651865	hypermeth	63.3536676996164	hypermeth
1	124939928	*	 	 	62.5964912280702	hypermeth		
1	124940058	*	 	 	74.4736842105263	hypermeth		
1	124940069	*	 	 	72.5438596491228	hypermeth		
1	124940094	*	 	 	72.280701754386	hypermeth		
1	124940170	*	 	 	54.8387096774194	hypermeth		
1	124941118	*	 	 	53.9898132427844	hypermeth		
1	124941170	*	 	 	66.9467787114846	hypermeth		
1	124941201	*	 	 	71.2121212121212	hypermeth		
1	124941231	*	 	 	63.3155080213904	hypermeth		
1	124941239	*	 	 	63.2210655235762	hypermeth		
1	124941254	*	 	 	49.8958971218616	hypermeth		
1	124941262	 	 	*	70.9852216748768	hypermeth	70.9826922967171	hypermeth
1	124941281	 	 	*	66.1121903836814	hypermeth	66.1123846982019	hypermeth
1	124941291	*	 	 	61.0247693054881	hypermeth		
1	124942000	*	 	 	76.6233766233766	hypermeth		
1	124942030	*	 	 	69.0298507462687	hypermeth		
1	124942169	*	 	 	76.9021739130435	hypermeth		
1	124942195	*	 	 	38.3333333333333	hypermeth		
1	124942199	*	 	 	29.6376811594203	hypermeth		
1	124942299	*	 	 	59.3716143011918	hypermeth		
1	124942306	*	 	 	66.0455037919827	hypermeth		
1	124942336	 	 	*	82.0585048754063	hypermeth	82.0572502414877	hypermeth
1	124942340	*	 	 	40.7478632478633	hypermeth		
1	124942347	*	 	 	74.8931623931624	hypermeth		
1	124943800	 	 	*	69.8111256908823	hypermeth	69.1873561609482	hypermeth
1	124944750	*	 	 	63.2337662337662	hypermeth		
1	124944781	 	 	*	73.7543859649123	hypermeth	73.7522839721822	hypermeth
1	124944790	*	 	 	42.9528985507246	hypermeth		
1	124944908	 	 	*	66.1575841721624	hypermeth	66.1577989668595	hypermeth
1	124944920	 	 	*	72.0973039876863	hypermeth	72.094492257739	hypermeth
1	124944949	 	 	*	55.5229468407443	hypermeth	55.5208582360061	hypermeth
1	124944966	 	 	*	76.4749505603164	hypermeth	76.4458073942992	hypermeth
1	124944973	 	 	*	39.7357723577236	hypermeth	39.7356896448889	hypermeth
1	124944977	 	 	*	69.6501827403595	hypermeth	69.6500430759001	hypermeth
1	124945007	 	 	*	76.0763888888889	hypermeth	76.1259940741473	hypermeth
1	124945014	 	 	*	67.5355471521858	hypermeth	67.5249087810784	hypermeth
1	124945027	*	 	 	46.7927170868347	hypermeth		
1	124947443	*	 	 	70.7936507936508	hypermeth		
1	124947455	 	 	*	61.2974657590421	hypermeth	61.2974152319816	hypermeth
1	124947484	 	 	*	68.5130949028443	hypermeth	68.5144053141467	hypermeth
1	124947501	 	 	*	68.8177394381774	hypermeth	68.8154128269855	hypermeth
1	124947508	*	 	 	31.3063957777652	hypermeth		
1	124947512	 	 	*	76.5177580466149	hypermeth	76.5190046871196	hypermeth
1	124947542	 	 	*	70.1088004407106	hypermeth	70.1085870581409	hypermeth
1	124947549	 	 	*	70.7348295021244	hypermeth	70.7348791846606	hypermeth
1	124947562	*	 	 	54.5234806629834	hypermeth		
1	124947573	*	 	 	77.8846153846154	hypermeth		
1	124947584	*	 	 	51.4423076923077	hypermeth		
1	124947609	*	 	 	74.3589743589744	hypermeth		
1	124947649	*	 	 	40.0815217391304	hypermeth		
1	124947653	*	 	 	34.875	hypermeth		
1	124947679	*	 	 	77.1561771561772	hypermeth		
1	124948955	 	 	*	54.5102798245519	hypermeth	54.5080108136494	hypermeth
1	124949133	 	 	*	70.6885456885457	hypermeth	70.6855336680445	hypermeth
1	124949804	*	 	 	56.2571756601607	hypermeth		
1	124949816	 	 	*	69.7642221849304	hypermeth	69.7638761082216	hypermeth
1	124949845	 	 	*	54.8296943231441	hypermeth	54.829274749825	hypermeth
1	124949862	 	 	*	73.3100455170954	hypermeth	73.3142820826508	hypermeth
1	124949869	*	 	 	33.4476553403197	hypermeth		
1	124949873	 	 	*	72.3023997314986	hypermeth	72.3015626032549	hypermeth
1	124949903	 	 	*	70.64039408867	hypermeth	70.6403377590604	hypermeth
1	124949910	 	 	*	64.9743213499633	hypermeth	64.973047498155	hypermeth
1	124949923	 	 	*	52.4960254372019	hypermeth	52.4956275365694	hypermeth
1	124949934	 	 	*	81.5276226479938	hypermeth	81.5246999655064	hypermeth
1	124949945	 	 	*	67.7454698693637	hypermeth	67.7462994305205	hypermeth
1	124949970	 	 	*	68.7568478718921	hypermeth	68.7580228214309	hypermeth
1	124950179	*	 	 	54.8565372094784	hypermeth		
1	124950210	*	 	 	76.0714285714286	hypermeth		
1	124951415	 	 	*	58.0534583007897	hypermeth	58.0552011440199	hypermeth
1	124951426	 	 	*	71.1884006404554	hypermeth	71.188507569041	hypermeth
1	124951437	*	 	 	55.3904999110479	hypermeth		
1	124951462	 	 	*	72.3714641522861	hypermeth	72.3716299975228	hypermeth
1	124951532	*	 	 	60.2941176470588	hypermeth		
1	124951671	 	 	*	69.6053558844257	hypermeth	69.6036258749537	hypermeth
1	124952490	*	 	 	63.0386646227219	hypermeth		
1	124952533	*	 	 	54.953560371517	hypermeth		
1	124952542	*	 	 	64.1106442577031	hypermeth		
1	124952573	 	 	*	78.9765319426336	hypermeth	78.9783082306896	hypermeth
1	124953136	*	 	 	53.0526315789474	hypermeth		
1	124953147	 	 	*	70.5090497737557	hypermeth	69.9599197257561	hypermeth
1	124953158	 	 	*	73.0882352941177	hypermeth	73.0898161091996	hypermeth
1	124953183	 	 	*	71.0859728506787	hypermeth	71.0830880174988	hypermeth
1	124953392	 	 	*	63.4625322997416	hypermeth	63.4651975747337	hypermeth
1	124953821	*	 	 	77.2036474164134	hypermeth		
1	124953838	*	 	 	72.1884498480243	hypermeth		
1	124953850	*	 	 	48.6322188449848	hypermeth		
1	124954258	 	 	*	57.0993762368797	hypermeth	57.2254191168029	hypermeth
1	124954289	 	 	*	68.0596068484464	hypermeth	68.0591078419465	hypermeth
1	124954327	*	 	 	54.7674418604651	hypermeth		
1	124954342	*	 	 	53.7209302325581	hypermeth		
1	124954350	*	 	 	59.0697674418605	hypermeth		
1	124954369	*	 	 	57.4418604651163	hypermeth		
1	124954379	*	 	 	49.4897959183673	hypermeth		
1	124954387	*	 	 	70.3962703962704	hypermeth		
1	124954416	 	 	*	73.9741989180191	hypermeth	73.9764197304693	hypermeth
1	124954428	 	 	*	64.4349398039435	hypermeth	64.1682830185314	hypermeth
1	124954457	 	 	*	49.1082561874173	hypermeth	49.1063888007596	hypermeth
1	124954474	 	 	*	67.6104530926866	hypermeth	67.6099400376591	hypermeth
1	124954481	*	 	 	35.7318736267899	hypermeth		
1	124954485	 	 	*	70.7560681441278	hypermeth	70.7538911463186	hypermeth
1	124954515	 	 	*	77.0935821317501	hypermeth	76.7359560036116	hypermeth
